Time,Z,X,Y
3.98,15.080455,6.207866,-0.583812
3.99,15.085585,6.203605,-0.584796
4,15.093376,6.222736,-0.59189
4.01,15.086162,6.211147,-0.581692
4.02,15.088026,6.210781,-0.586773
4.03,15.083042,6.210268,-0.579839
4.04,15.083012,6.20842,-0.576127
4.05,15.087546,6.207387,-0.583571
4.06,15.085427,6.210306,-0.576984
4.07,15.089049,6.203824,-0.583867
4.08,15.087502,6.212116,-0.580065
4.09,15.086353,6.20661,-0.579494
4.1,15.087251,6.216652,-0.576482
4.11,15.088978,6.205729,-0.585932
4.12,15.09404,6.218598,-0.591371
4.13,15.083958,6.205555,-0.578477
4.14,15.080649,6.202761,-0.579746
4.15,15.080625,6.215913,-0.574316
4.16,15.092652,6.220479,-0.588899
4.17,15.082115,6.211213,-0.577766
4.18,15.084251,6.233228,-0.588615
4.19,15.072246,6.204264,-0.585367
4.2,15.073924,6.210926,-0.582863
4.21,15.080966,6.210967,-0.580254
4.22,15.084519,6.210468,-0.577123
4.23,15.081309,6.2065,-0.579928
4.24,15.077646,6.210453,-0.589629
4.25,15.078815,6.205363,-0.583773
4.26,15.085237,6.210941,-0.5813
4.27,15.090611,6.212154,-0.583096
4.28,15.094651,6.214028,-0.583567
4.29,15.090922,6.208031,-0.586955
4.3,15.083524,6.210843,-0.587348
4.31,15.083943,6.20682,-0.583652
4.32,15.091276,6.212191,-0.585154
4.33,15.09047,6.219279,-0.576906
4.34,15.090983,6.22833,-0.5808
4.35,15.088788,6.215706,-0.58093
4.36,15.087451,6.205994,-0.577263
4.37,15.084101,6.205866,-0.582225
4.38,15.087125,6.210616,-0.579764
4.39,15.088775,6.210573,-0.577926
4.4,15.090449,6.210454,-0.581165
4.41,15.085509,6.213487,-0.583795
4.42,15.088508,6.206663,-0.584941
4.43,15.079932,6.209812,-0.573168
4.44,15.079997,6.207451,-0.581661
4.45,15.078666,6.210585,-0.575897
4.46,15.078672,6.206172,-0.572103
4.47,15.075973,6.214098,-0.580953
4.48,15.075177,6.206193,-0.57725
4.49,15.076642,6.205884,-0.575078
4.5,15.080459,6.205281,-0.580251
4.51,15.081111,6.199787,-0.582144
4.52,15.094074,6.222805,-0.592549
4.53,15.086362,6.195863,-0.587508
4.54,15.088058,6.203031,-0.586756
4.55,15.081781,6.207836,-0.579269
4.56,15.081904,6.199322,-0.57771
4.57,15.081963,6.20756,-0.578135
4.58,15.085866,6.217141,-0.580528
4.59,15.087425,6.217281,-0.579612
4.6,15.090164,6.214086,-0.581159
4.61,15.085773,6.209974,-0.58665
4.62,15.084203,6.211538,-0.58029
4.63,15.087103,6.212027,-0.57982
4.64,15.086054,6.209674,-0.584943
4.65,15.091426,6.202169,-0.587357
4.66,15.087667,6.204498,-0.577554
4.67,15.082721,6.207281,-0.585387
4.68,15.092361,6.223582,-0.595276
4.69,15.081902,6.207866,-0.581727
4.7,15.091575,6.220547,-0.587986
4.71,15.084194,6.212758,-0.584559
4.72,15.079636,6.211017,-0.579747
4.73,15.077332,6.203829,-0.577201
4.74,15.07618,6.200011,-0.588259
4.75,15.082083,6.200403,-0.582382
