%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1677616126870191500,0.832763671875,-0.17236328125,-0.82470703125,-0.17557251908396945,-0.33587786259541985,-0.16030534351145037,0.0,1677303939.659802
1677616126870197500,0.80126953125,-0.201416015625,-0.833740234375,-0.15267175572519084,-0.31297709923664124,-0.11450381679389313,0.0,1677303939.669414
1677616126870203200,0.81298828125,-0.14794921875,-0.851806640625,-0.12213740458015267,-0.3053435114503817,-0.12213740458015267,0.0,1677303939.679863
1677616126870210700,0.79150390625,-0.159912109375,-0.812255859375,-0.10687022900763359,-0.3511450381679389,-0.10687022900763359,0.0,1677303939.689382
1677616126870295200,0.799072265625,-0.1484375,-0.79736328125,-0.061068702290076333,-0.26717557251908397,-0.11450381679389313,0.0,1677303939.7000704
1677616126939428700,0.8046875,-0.1630859375,-0.81591796875,-0.09923664122137404,-0.2595419847328244,-0.12213740458015267,0.0,1677303939.710192
1677616126939451200,0.77001953125,-0.1982421875,-0.81494140625,-0.0916030534351145,-0.29770992366412213,-0.10687022900763359,0.0,1677303939.7197335
1677616126939501700,0.773681640625,-0.18603515625,-0.801513671875,-0.03816793893129771,-0.2900763358778626,-0.061068702290076333,0.0,1677303939.7299144
1677616126939506300,0.789794921875,-0.1904296875,-0.832763671875,-0.061068702290076333,-0.26717557251908397,-0.07633587786259542,0.0,1677303939.7401862
1677616126939510200,0.801025390625,-0.176025390625,-0.81982421875,-0.07633587786259542,-0.33587786259541985,-0.06870229007633588,0.0,1677303939.7501965
1677616126939522000,0.791748046875,-0.169677734375,-0.8359375,-0.061068702290076333,-0.24427480916030533,-0.11450381679389313,0.0,1677303939.7601802
1677616126991572200,0.774169921875,-0.157958984375,-0.83544921875,-0.05343511450381679,-0.2595419847328244,-0.06870229007633588,0.0,1677303939.7706544
1677616126991600200,0.80078125,-0.150390625,-0.813720703125,-0.1297709923664122,-0.2366412213740458,-0.09923664122137404,0.0,1677303939.7808383
1677616126991604700,0.807373046875,-0.186279296875,-0.818603515625,-0.09923664122137404,-0.32061068702290074,-0.06870229007633588,0.0,1677303939.7898
1677616126991608500,0.784912109375,-0.18408203125,-0.83447265625,-0.13740458015267176,-0.2824427480916031,-0.08396946564885496,0.0,1677303939.800163
1677616126991611900,0.77978515625,-0.16650390625,-0.833984375,-0.0916030534351145,-0.33587786259541985,-0.09923664122137404,0.0,1677303939.810109
1677616126991641700,0.7783203125,-0.1875,-0.811767578125,-0.0916030534351145,-0.32061068702290074,-0.1297709923664122,0.0,1677303939.8204484
1677616127054825800,0.771484375,-0.14111328125,-0.82666015625,-0.030534351145038167,-0.2748091603053435,-0.10687022900763359,0.0,1677303939.8304188
1677616127054855800,0.78076171875,-0.1640625,-0.833251953125,-0.04580152671755725,-0.2824427480916031,-0.08396946564885496,0.0,1677303939.8402665
1677616127054860100,0.826416015625,-0.1357421875,-0.839599609375,-0.10687022900763359,-0.3282442748091603,-0.09923664122137404,0.0,1677303939.8502545
1677616127054902900,0.826416015625,-0.17626953125,-0.848876953125,-0.05343511450381679,-0.22900763358778625,-0.10687022900763359,0.0,1677303939.86029
1677616127054921300,0.764404296875,-0.14111328125,-0.808837890625,-0.09923664122137404,-0.3511450381679389,-0.08396946564885496,0.0,1677303939.870898
1677616127054944100,0.763671875,-0.166259765625,-0.800048828125,-0.1450381679389313,-0.21374045801526717,-0.030534351145038167,0.0,1677303939.8802733
1677616127054956700,0.806884765625,-0.129638671875,-0.854736328125,-0.09923664122137404,-0.3053435114503817,-0.03816793893129771,0.0,1677303939.8903272
1677616127115226900,0.78369140625,-0.15576171875,-0.82421875,-0.05343511450381679,-0.25190839694656486,-0.061068702290076333,0.0,1677303939.9003127
1677616127115351100,0.822021484375,-0.20166015625,-0.839599609375,-0.366412213740458,-0.1984732824427481,0.07633587786259542,0.0,1677303939.9103127
1677616127115374500,0.802734375,-0.245361328125,-0.772216796875,-1.5648854961832062,-0.3435114503816794,0.2748091603053435,0.0,1677303939.9210935
1677616127115386600,0.810791015625,-0.23583984375,-0.795654296875,-1.7099236641221374,-0.4351145038167939,0.2824427480916031,0.0,1677303939.9298165
1677616127115392000,0.789794921875,-0.1552734375,-0.820556640625,-1.465648854961832,-0.4580152671755725,-0.08396946564885496,0.0,1677303939.939847
1677616127115397100,0.7734375,-0.133056640625,-0.85986328125,-0.366412213740458,-0.5114503816793893,-0.5877862595419847,0.0,1677303939.9497032
1677616127166382100,0.777099609375,-0.1279296875,-0.85107421875,-0.13740458015267176,-0.3053435114503817,-0.3511450381679389,0.0,1677303939.9594314
1677616127166430900,0.77734375,-0.14208984375,-0.8427734375,-0.03816793893129771,-0.3282442748091603,-0.030534351145038167,0.0,1677303939.9701746
1677616127166442500,0.783203125,-0.1689453125,-0.83740234375,0.04580152671755725,-0.16030534351145037,0.022900763358778626,0.0,1677303939.9798594
1677616127166447700,0.810546875,-0.178955078125,-0.80029296875,-0.015267175572519083,-0.2900763358778626,-0.07633587786259542,0.0,1677303939.9894147
1677616127166453500,0.775146484375,-0.197998046875,-0.8193359375,-0.1297709923664122,-0.2900763358778626,-0.16793893129770993,0.0,1677303939.9998708
1677616127230150300,0.802978515625,-0.171630859375,-0.81884765625,-0.183206106870229,-0.3282442748091603,-0.1450381679389313,0.0,1677303940.0094378
1677616127230191000,0.77197265625,-0.158935546875,-0.828857421875,-0.0916030534351145,-0.2748091603053435,-0.04580152671755725,0.0,1677303940.0204065
1677616127230201800,0.788330078125,-0.16748046875,-0.833984375,-0.007633587786259542,-0.29770992366412213,-0.061068702290076333,0.0,1677303940.0299168
1677616127230208000,0.793212890625,-0.16552734375,-0.821044921875,-0.04580152671755725,-0.29770992366412213,-0.09923664122137404,0.0,1677303940.0399835
1677616127230213200,0.7978515625,-0.1640625,-0.8056640625,-0.061068702290076333,-0.2900763358778626,-0.061068702290076333,0.0,1677303940.0497513
1677616127230218100,0.797607421875,-0.184814453125,-0.81982421875,-0.04580152671755725,-0.2748091603053435,-0.04580152671755725,0.0,1677303940.0600483
1677616127286046100,0.785888671875,-0.18212890625,-0.825927734375,-0.10687022900763359,-0.29770992366412213,-0.1450381679389313,0.0,1677303940.070793
1677616127286074600,0.787109375,-0.173095703125,-0.829833984375,-0.12213740458015267,-0.3053435114503817,-0.15267175572519084,0.0,1677303940.079734
1677616127286078900,0.784423828125,-0.1484375,-0.831787109375,-0.0916030534351145,-0.2748091603053435,-0.09923664122137404,0.0,1677303940.090164
