%time,field.mx,field.my,field.fz,field.t,,time dif
1.67694E+18,-7,13,-148.96,1676941260,2.739939928,0.041509867
1.67694E+18,-6,10,-145.04,1676941260,2.740380049,0.000440121
1.67694E+18,-8,9,-145.04,1676941260,2.761349916,0.020969868
1.67694E+18,-7,9,-150.92,1676941260,2.761739969,0.000390053
1.67694E+18,-4,9,-145.04,1676941260,2.784759998,0.023020029
1.67694E+18,-5,7,-145.04,1676941260,2.785199881,0.000439882
1.67694E+18,-8,4,-145.04,1676941260,2.811460018,0.026260138
1.67694E+18,-9,3,-147,1676941260,2.811850071,0.000390053
1.67694E+18,-9,1,-143.08,1676941260,2.832969904,0.021119833
1.67694E+18,-9,-1,-148.96,1676941260,2.833379984,0.00041008
1.67694E+18,-11,-5,-150.92,1676941260,2.833689928,0.000309944
1.67694E+18,-11,-4,-145.04,1676941260,2.83382988,0.000139952
1.67694E+18,-12,-7,-143.08,1676941260,2.882250071,0.048420191
1.67694E+18,-19,-10,-148.96,1676941260,2.882730007,0.000479937
1.67694E+18,-31,-58,-105.84,1676941260,2.883009911,0.000279903
1.67694E+18,24,9,-31.36,1676941260,2.883169889,0.000159979
1.67694E+18,92,47,19.6,1676941260,2.898869991,0.015700102
1.67694E+18,171,44,86.24,1676941260,2.899129868,0.000259876
1.67694E+18,234,73,190.12,1676941260,2.930979967,0.0318501
1.67694E+18,232,103,235.2,1676941260,2.931380033,0.000400066
1.67694E+18,185,123,237.16,1676941260,2.931760073,0.000380039
1.67694E+18,150,117,223.44,1676941260,2.931890011,0.000129938
1.67694E+18,70,67,182.28,1676941260,2.932169914,0.000279903
1.67694E+18,60,36,172.48,1676941260,2.979680061,0.047510147
1.67694E+18,75,5,174.44,1676941260,2.980170012,0.00048995
1.67694E+18,97,-5,174.44,1676941260,2.980350018,0.000180006
1.67694E+18,113,-3,176.4,1676941260,3.006469965,0.026119947
1.67694E+18,149,-6,168.56,1676941260,3.028470039,0.022000074
1.67694E+18,200,-2,178.36,1676941260,3.029249907,0.000779867
1.67694E+18,226,3,182.28,1676941260,3.029710054,0.000460148
1.67694E+18,228,12,170.52,1676941260,3.029880047,0.000169992
1.67694E+18,225,28,150.92,1676941260,3.076699972,0.046819925
1.67694E+18,211,45,119.56,1676941260,3.077270031,0.000570059
1.67694E+18,196,58,92.12,1676941260,3.077589989,0.000319958
1.67694E+18,172,64,68.6,1676941260,3.077719927,0.000129938
1.67694E+18,143,73,33.32,1676941260,3.125969887,0.04824996
1.67694E+18,104,79,-7.84,1676941260,3.126450062,0.000480175
1.67694E+18,70,84,-47.04,1676941260,3.126620054,0.000169992
1.67694E+18,43,88,-88.2,1676941260,3.126729965,0.000109911
1.67694E+18,18,97,-119.56,1676941260,3.153149843,0.026419878
1.67694E+18,-12,111,-148.96,1676941260,3.153529882,0.000380039
1.67694E+18,-44,115,-160.72,1676941260,3.174329996,0.020800114
1.67694E+18,-50,77,-162.68,1676941260,3.17505002,0.000720024
1.67694E+18,-31,37,-158.76,1676941260,3.175549984,0.000499964
1.67694E+18,-17,15,-158.76,1676941260,3.175780058,0.000230074
1.67694E+18,-21,12,-158.76,1676941260,3.175979853,0.000199795
1.67694E+18,-25,6,-164.64,1676941260,3.176209927,0.000230074
1.67694E+18,-29,-18,-158.76,1676941260,3.233839989,0.057630062
1.67694E+18,-7,5,-150.92,1676941260,3.234080076,0.000240088
1.67694E+18,-2,7,-152.88,1676941260,3.260249853,0.026169777
1.67694E+18,14,4,-145.04,1676941260,3.260560036,0.000310183
1.67694E+18,1,15,-148.96,1676941261,3.2869699,0.026409864
1.67694E+18,-6,18,-148.96,1676941261,3.287420034,0.000450134
1.67694E+18,-3,18,-152.88,1676941261,3.298130035,0.010710001
1.67694E+18,1,15,-148.96,1676941261,3.298549891,0.000419855
1.67694E+18,1,15,-152.88,1676941261,3.320450068,0.021900177
1.67694E+18,-6,11,-145.04,1676941261,3.320819855,0.000369787
1.67694E+18,-7,11,-150.92,1676941261,3.336669922,0.015850067
1.67694E+18,-3,9,-145.04,1676941261,3.342259884,0.005589962
1.67694E+18,-9,4,-145.04,1676941261,3.369740009,0.027480125
1.67694E+18,-11,2,-147,1676941261,3.370300055,0.000560045
1.67694E+18,-10,1,-147,1676941261,3.370820045,0.000519991
1.67694E+18,-12,5,-143.08,1676941261,3.371299982,0.000479937
1.67694E+18,-15,3,-141.12,1676941261,3.371680021,0.000380039
1.67694E+18,-16,4,-145.04,1676941261,3.372050047,0.000370026
1.67694E+18,-15,7,-143.08,1676941261,3.428869963,0.056819916
1.67694E+18,-19,3,-139.16,1676941261,3.446089983,0.01722002
1.67694E+18,-18,4,-139.16,1676941261,3.446670055,0.000580072
1.67694E+18,-18,6,-145.04,1676941261,3.447089911,0.000419855
1.67694E+18,-13,14,-143.08,1676941261,3.44746995,0.000380039
1.67694E+18,-16,13,-139.16,1676941261,3.477499962,0.030030012
1.67694E+18,-15,14,-137.2,1676941261,3.478219986,0.000720024
1.67694E+18,-12,16,-145.04,1676941261,3.47845006,0.000230074
1.67694E+18,-13,16,-141.12,1676941261,3.479140043,0.000689983
1.67694E+18,-10,17,-145.04,1676941261,3.526319981,0.047179937
1.67694E+18,-8,17,-143.08,1676941261,3.526569843,0.000249863
1.67694E+18,-9,13,-139.16,1676941261,3.527349949,0.000780106
1.67694E+18,-7,11,-141.12,1676941261,3.527760029,0.00041008
1.67694E+18,-3,9,-139.16,1676941261,3.564239979,0.03647995
1.67694E+18,-8,13,-148.96,1676941261,3.564699888,0.000459909
1.67694E+18,-9,15,-145.04,1676941261,3.57028985,0.005589962
1.67694E+18,-9,11,-141.12,1676941261,3.570980072,0.000690222
1.67694E+18,-8,6,-145.04,1676941261,3.613529921,0.042549849
1.67694E+18,-6,8,-147,1676941261,3.614019871,0.00048995
1.67694E+18,-8,5,-145.04,1676941261,3.614219904,0.000200033
1.67694E+18,-10,2,-145.04,1676941261,3.61458993,0.000370026
1.67694E+18,-11,0,-145.04,1676941261,3.61529994,0.000710011
1.67694E+18,-9,1,-150.92,1676941261,3.615579844,0.000279903
1.67694E+18,-7,3,-145.04,1676941261,3.662270069,0.046690226
1.67694E+18,-9,-1,-143.08,1676941261,3.662699938,0.000429869
1.67694E+18,-11,-2,-143.08,1676941261,3.663199902,0.000499964
1.67694E+18,-10,-2,-148.96,1676941261,3.663579941,0.000380039
1.67694E+18,-10,-4,-145.04,1676941261,3.663980007,0.000400066
1.67694E+18,-13,-5,-148.96,1676941261,3.711089849,0.047109842
1.67694E+18,-16,-21,-133.28,1676941261,3.716579914,0.005490065
1.67694E+18,11,-37,-96.04,1676941261,3.717050076,0.000470161
1.67694E+18,63,55,-98,1676941261,3.717339993,0.000289917
1.67694E+18,116,31,21.56,1676941261,3.759909868,0.042569876
1.67694E+18,197,43,70.56,1676941261,3.760360003,0.000450134
1.67694E+18,246,76,131.32,1676941261,3.808480024,0.048120022
1.67694E+18,252,117,168.56,1676941261,3.808889866,0.000409842
1.67694E+18,192,137,162.68,1676941261,3.809069872,0.000180006
1.67694E+18,135,128,147,1676941261,3.809309959,0.000240088
1.67694E+18,89,115,137.2,1676941261,3.820630074,0.011320114
