%time,field.mx,field.my,field.fz,field.t,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
,,,,,1676941274773582000,-0.967041015625,0.047607421875,-0.234375,-0.1145038167938931,-0.183206106870229,-0.0687022900763358,0.0,1676941273.8718147
,,,,,1676941274773604800,-0.962158203125,0.03125,-0.22119140625,-0.1297709923664122,-0.183206106870229,-0.0916030534351145,0.0,1676941273.886438
,,,,,1676941274773609600,-0.965576171875,0.042724609375,-0.220947265625,-0.1297709923664122,-0.1679389312977099,-0.0305343511450381,0.0,1676941273.910239
,,,,,1676941274899281900,-0.96875,0.039306640625,-0.232421875,-0.1450381679389313,-0.183206106870229,-0.015267175572519,0.0,1676941273.9249516
,,,,,1676941274899338700,-0.963134765625,0.04736328125,-0.2294921875,-0.1297709923664122,-0.1984732824427481,-0.015267175572519,0.0,1676941273.9398174
,,,,,1676941274899358700,-0.962646484375,0.05078125,-0.228515625,-0.0839694656488549,-0.2290076335877862,0.0076335877862595,0.0,1676941273.9624228
,,,,,1676941274899367900,-0.9609375,0.040283203125,-0.236083984375,-0.0610687022900763,-0.1908396946564885,0.0534351145038167,0.0,1676941273.9774177
,,,,,1676941274899489100,-0.9599609375,0.046875,-0.2431640625,-0.0839694656488549,-0.2519083969465648,0.0839694656488549,0.0,1676941273.9920776
,,,,,1676941274899590800,-0.96630859375,0.047607421875,-0.249267578125,-0.1221374045801526,-0.2671755725190839,0.0763358778625954,0.0,1676941274.0150642
,,,,,1676941274899705800,-0.964111328125,0.05517578125,-0.233154296875,-0.1068702290076335,-0.2748091603053435,0.0381679389312977,0.0,1676941274.030187
,,,,,1676941275033021800,-0.961669921875,0.059326171875,-0.238525390625,-0.0916030534351145,-0.2671755725190839,0.0229007633587786,0.0,1676941274.044886
,,,,,1676941275033052700,-0.955810546875,0.047119140625,-0.22998046875,-0.1145038167938931,-0.2977099236641221,-0.0305343511450381,0.0,1676941274.067933
,,,,,1676941275033065000,-0.9599609375,0.071044921875,-0.222412109375,-0.1374045801526717,-0.2824427480916031,-0.1068702290076335,0.0,1676941274.084737
,,,,,1676941275033070800,-0.960205078125,0.06591796875,-0.242431640625,-0.1297709923664122,-0.3053435114503817,-0.1450381679389313,0.0,1676941274.1068842
,,,,,1676941275033075900,-0.96240234375,0.06103515625,-0.228271484375,-0.1526717557251908,-0.3129770992366412,-0.1603053435114503,0.0,1676941274.1217434
,,,,,1676941275033153600,-0.964111328125,0.057861328125,-0.22021484375,-0.183206106870229,-0.2900763358778626,-0.183206106870229,0.0,1676941274.1364098
,,,,,1676941275033246700,-0.962158203125,0.047119140625,-0.2080078125,-0.1603053435114503,-0.3206106870229007,-0.1450381679389313,0.0,1676941274.1669753
,,,,,1676941275164520000,-0.95751953125,0.04443359375,-0.22216796875,-0.1221374045801526,-0.3587786259541984,-0.099236641221374,0.0,1676941274.1821709
,,,,,1676941275164554100,-0.95947265625,0.06005859375,-0.23193359375,-0.1450381679389313,-0.3282442748091603,-0.0687022900763358,0.0,1676941274.2024558
,,,,,1676941275164575500,-0.965087890625,0.03955078125,-0.248779296875,-0.1297709923664122,-0.3358778625954198,-0.0305343511450381,0.0,1676941274.217306
,,,,,1676941275164585700,-0.9658203125,0.042236328125,-0.2333984375,-0.1603053435114503,-0.3511450381679389,-0.0076335877862595,0.0,1676941274.2319746
,,,,,1676941275164598000,-0.95849609375,0.053466796875,-0.2333984375,-0.1374045801526717,-0.3129770992366412,0.0610687022900763,0.0,1676941274.2547853
,,,,,1676941275164611600,-0.959228515625,0.036376953125,-0.225341796875,-0.1297709923664122,-0.2977099236641221,0.0916030534351145,0.0,1676941274.280488
,,,,,1676941275164697600,-0.965576171875,0.048828125,-0.208740234375,-0.0381679389312977,-0.2137404580152671,0.1068702290076335,0.0,1676941274.3056228
,,,,,1676941275332559600,-0.964111328125,0.0517578125,-0.20458984375,-0.0534351145038167,-0.183206106870229,0.099236641221374,0.0,1676941274.320907
,,,,,1676941275332591400,-0.96337890625,0.0654296875,-0.230224609375,-0.0839694656488549,-0.183206106870229,0.0687022900763358,0.0,1676941274.339298
,,,,,1676941275332611700,-0.955810546875,0.07275390625,-0.23095703125,-0.1145038167938931,-0.1755725190839694,0.0305343511450381,0.0,1676941274.3583472
,,,,,1676941275332629900,-0.96533203125,0.06494140625,-0.2294921875,-0.1221374045801526,-0.1526717557251908,-0.0076335877862595,0.0,1676941274.373013
,,,,,1676941275332675500,-0.95947265625,0.061767578125,-0.220947265625,-0.1450381679389313,-0.1908396946564885,-0.0839694656488549,0.0,1676941274.3974695
,,,,,1676941275332681100,-0.961669921875,0.070068359375,-0.244140625,-0.1297709923664122,-0.1984732824427481,-0.1068702290076335,0.0,1676941274.413663
,,,,,1676941275332755800,-0.966796875,0.05908203125,-0.239990234375,-0.1450381679389313,-0.2213740458015267,-0.1145038167938931,0.0,1676941274.4283175
,,,,,1676941275332764600,-0.961669921875,0.05615234375,-0.238037109375,-0.1374045801526717,-0.2290076335877862,-0.1603053435114503,0.0,1676941274.4461808
,,,,,1676941275332834300,-0.960205078125,0.052734375,-0.24658203125,-0.1755725190839694,-0.3053435114503817,-0.1603053435114503,0.0,1676941274.46082
