%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28
1676077459760175300,0,77459.0,1.0,-0.3335828483104706,1.3361519575119019,-4.291051864624023,16.0,-0.2701875567436218,-3.072918653488159,-4.729752063751221,17.0,1.3739663362503052,2.162079334259033,-4.636869430541992,18.0,-7.502195835113525,-1.355167269706726,-9.732275009155273,20.0,-4.676734447479248,1.3045490980148315,-1.4041240215301514,21.0,-2.840827226638794,-3.4221560955047607,1.286992073059082,22.0,-0.1483195424079895,-0.5817940831184387,0.04331055283546448
1676077459774406200,0,77459.0,1.0,-0.7633856534957886,2.943620443344116,-5.011294364929199,16.0,5.631709098815918,0.4285239279270172,-6.994047164916992,17.0,0.8904840350151062,2.1465871334075928,-5.514089584350586,18.0,-8.100122451782227,-0.7744960188865662,-8.770500183105469,20.0,-1.9806500673294067,2.113722324371338,-3.2617111206054688,21.0,-3.32000470161438,-2.499037981033325,0.4732746183872223,22.0,-0.558924674987793,-1.2192835807800293,0.5724248886108398
1676077459784278700,0,77459.0,1.0,-0.016041407361626625,2.7739169597625732,-5.604278087615967,16.0,2.053805351257324,-3.373021364212036,-6.937994480133057,17.0,0.8750964403152466,1.8124104738235474,-5.656235694885254,18.0,-7.133916854858398,-0.5853762626647949,-8.826743125915527,20.0,-7.684414386749268,2.1604180335998535,-4.5030341148376465,21.0,-1.8410834074020386,-3.156963348388672,-0.7883501648902893,22.0,0.04105282574892044,-0.43761035799980164,0.22054632008075714
1676077459789222100,0,77459.0,1.0,0.04396041855216026,2.390137195587158,-5.797195911407471,16.0,1.5005314350128174,-5.717869758605957,-7.007750988006592,17.0,1.2538105249404907,1.5594139099121094,-5.354783058166504,18.0,-6.290494441986084,-0.38500604033470154,-8.33218002319336,20.0,-9.172074317932129,0.295626699924469,-5.0212202072143555,21.0,-1.7759984731674194,-3.0880961418151855,-1.0289340019226074,22.0,0.30831611156463623,0.3608180582523346,0.060675643384456635
1676077459811968500,0,77459.0,1.0,-0.27271944284439087,2.4873759746551514,-5.603555679321289,16.0,0.8982214331626892,-6.4851813316345215,-7.073968887329102,17.0,1.8326643705368042,1.3665614128112793,-4.935244083404541,18.0,-7.104813575744629,-0.9780480861663818,-6.314242362976074,20.0,-8.153655052185059,0.47365400195121765,-5.500772476196289,21.0,-1.8912103176116943,-2.288452625274658,-0.5684489607810974,22.0,0.2943389415740967,2.189647912979126,0.4148258566856384
1676077459822464400,0,77459.0,1.0,-1.1411148309707642,2.5813851356506348,-4.559072494506836,16.0,-1.0513629913330078,1.0536710023880005,-6.276686191558838,17.0,3.1708948612213135,1.7276610136032104,-4.5473408699035645,18.0,-6.552404880523682,-2.389852523803711,-3.691704511642456,20.0,-2.660679340362549,0.1960555911064148,-5.143051624298096,21.0,0.3772547245025635,0.9960418343544006,-0.4193166494369507,22.0,0.44477608799934387,2.150949001312256,0.37839919328689575
1676077459829230800,0,77459.0,1.0,-0.9370322823524475,2.8969295024871826,-3.6676506996154785,16.0,-7.8945746421813965,3.0153303146362305,-3.104098320007324,17.0,3.8211591243743896,1.9089319705963135,-4.7187910079956055,18.0,-5.86757230758667,-2.789415121078491,-1.9864341020584106,20.0,-0.10347356647253036,-1.885814905166626,-4.689311504364014,21.0,1.1670584678649902,3.3715665340423584,-0.48637983202934265,22.0,0.4309631586074829,1.7427763938903809,-0.07260353863239288
1676077459840235200,0,77459.0,1.0,-1.5440798997879028,2.571397066116333,-2.8984382152557373,16.0,-4.313624858856201,1.4246304035186768,-5.0420308113098145,17.0,3.5745694637298584,2.156724214553833,-5.611523151397705,18.0,-4.7765703201293945,-2.687167167663574,-1.3862335681915283,20.0,2.3901777267456055,-2.951913833618164,-4.115591049194336,21.0,0.9801162481307983,4.35537052154541,-0.7814472317695618,22.0,0.7648707032203674,1.6570179462432861,-0.19284740090370178
1676077459857875600,0,77459.0,1.0,-1.7795218229293823,1.834285855293274,-2.407453775405884,16.0,-7.358802318572998,0.1372687816619873,-3.4781243801116943,17.0,3.5469367504119873,2.9267308712005615,-6.23858118057251,18.0,-4.265476703643799,-2.453023672103882,-0.3290322422981262,20.0,4.5331878662109375,-3.7155463695526123,-3.769956111907959,21.0,0.1351032257080078,4.316720008850098,-1.2362374067306519,22.0,0.5785029530525208,1.3813282251358032,-0.5435879230499268
1676077459875108000,0,77459.0,1.0,-1.9253365993499756,-1.616328477859497,-2.192661762237549,16.0,-10.330728530883789,0.7587640285491943,-1.2200169563293457,17.0,1.9158997535705566,1.892060399055481,-7.784984111785889,18.0,-3.215820550918579,-2.534437656402588,0.8663687705993652,20.0,5.600466728210449,0.2863519489765167,-2.8973445892333984,21.0,0.23709480464458466,4.277749538421631,-1.1153019666671753,22.0,-0.07195667177438736,1.3857396841049194,0.019116844981908798
1676077459878423200,0,77459.0,1.0,-1.705956220626831,-1.351000189781189,-2.5051419734954834,16.0,-7.911489963531494,0.8228336572647095,-1.914217233657837,17.0,4.395915508270264,4.298409461975098,-7.264097213745117,18.0,-2.77545428276062,-2.69203519821167,1.6927897930145264,20.0,3.9209673404693604,0.14490742981433868,-2.3838298320770264,21.0,-0.717226505279541,2.538992166519165,-0.6811453700065613,22.0,0.4116581976413727,0.61517333984375,-0.02293138951063156
1676077459889293400,0,77459.0,1.0,-1.4848923683166504,-1.5258467197418213,-2.5379040241241455,16.0,-7.698173522949219,0.2847047746181488,-1.9385387897491455,17.0,3.5825119018554688,4.047101974487305,-7.803923606872559,18.0,-1.9599239826202393,-2.550832748413086,2.42250657081604,20.0,3.0995631217956543,-0.1864587664604187,-1.658252239227295,21.0,-2.1393420696258545,1.6820728778839111,-0.38066282868385315,22.0,0.4467822015285492,0.4314420223236084,-0.28403040766716003
1676077459902966900,0,77459.0,1.0,-1.196642279624939,-1.1419458389282227,-2.9922287464141846,16.0,-6.04335355758667,-0.40032535791397095,-2.6060500144958496,17.0,3.3401548862457275,4.561306476593018,-8.024863243103027,18.0,-1.116184115409851,-2.5167222023010254,3.4750285148620605,20.0,1.9733129739761353,1.2383732795715332,-1.3753172159194946,21.0,-4.470582485198975,-0.5235666632652283,-0.22502073645591736,22.0,-0.08961011469364166,0.7730683088302612,0.14627155661582947
1676077459913060700,0,77459.0,1.0,-0.9429802894592285,-0.5387325882911682,-3.0599300861358643,16.0,-3.5298562049865723,-2.1847171783447266,-3.88515305519104,17.0,2.8523874282836914,5.344706058502197,-8.237255096435547,18.0,-0.010999096557497978,-2.5701262950897217,4.77553129196167,20.0,-2.1581168174743652,0.058296479284763336,-1.6844136714935303,21.0,-6.626688480377197,-2.525036096572876,-0.33768782019615173,22.0,-0.48348596692085266,0.3750971257686615,0.5084355473518372
1676077459917155800,0,77459.0,1.0,-0.9583358764648438,-0.07099346816539764,-2.87739896774292,16.0,-2.455664873123169,-2.387608528137207,-4.2367424964904785,17.0,2.541125774383545,5.529771327972412,-8.163226127624512,18.0,1.3312546014785767,-2.405345916748047,5.970356464385986,20.0,-4.617128849029541,2.058509111404419,-1.9120216369628906,21.0,-8.449042320251465,-2.473491907119751,-0.8950589299201965,22.0,-0.4861621856689453,-0.10254351794719696,0.8468933701515198
1676077459931287700,0,77459.0,1.0,-1.1049643754959106,-0.21477892994880676,-2.1903648376464844,16.0,-1.5999093055725098,-3.3940248489379883,-4.52139949798584,17.0,2.096160888671875,4.895005702972412,-7.482487201690674,18.0,3.0452051162719727,-1.7030595541000366,7.088834285736084,20.0,-2.505253553390503,1.0941120386123657,-0.8943177461624146,21.0,-8.897455215454102,-3.1962647438049316,-1.8243426084518433,22.0,-0.540378749370575,-0.3162173330783844,0.6101110577583313
1676077459941038200,0,77459.0,1.0,-1.4634754657745361,-0.8549277186393738,-1.6580802202224731,16.0,-1.019606590270996,-2.4435834884643555,-4.965369701385498,17.0,1.07439386844635,3.1350388526916504,-5.400818347930908,18.0,5.81588077545166,-0.3670273721218109,8.568248748779297,20.0,-0.06263420730829239,-2.4788687229156494,0.27788564562797546,21.0,-7.516281604766846,-4.500419616699219,-2.486103057861328,22.0,-0.874032199382782,-0.3860573470592499,1.0819885730743408
1676077459959329600,0,77459.0,1.0,-2.6636159420013428,-0.46089211106300354,0.1837228387594223,16.0,-8.486093521118164,5.696840763092041,-0.6539983153343201,17.0,-3.9525740146636963,-3.9516029357910156,4.5803446769714355,18.0,13.327152252197266,7.144205570220947,10.875802993774414,20.0,-0.08854375034570694,-5.598681926727295,1.8918718099594116,21.0,-6.177709579467773,-3.2376129627227783,-1.5005236864089966,22.0,-1.129956841468811,-0.6697022914886475,1.6453862190246582
1676077459968764800,0,77459.0,1.0,-3.5406832695007324,-0.32930129766464233,1.774410605430603,16.0,-9.134124755859375,6.055023670196533,0.6250321269035339,17.0,0.9645019769668579,-5.078676700592041,28.55191421508789,18.0,29.75960922241211,13.260035514831543,0.573549747467041,20.0,-1.185653567314148,-0.8434127569198608,2.124505043029785,21.0,-6.329787731170654,-2.8829233646392822,-0.6153417825698853,22.0,-1.2895596027374268,-1.2814637422561646,1.7535572052001953
1676077459983023500,0,77459.0,1.0,-4.624537467956543,1.1526092290878296,1.7650609016418457,16.0,-7.973694801330566,4.328261375427246,1.4080584049224854,17.0,0.12300924956798553,-4.50032901763916,25.55100440979004,18.0,49.20439529418945,22.453664779663086,50.11809158325195,20.0,-3.112942934036255,3.9361650943756104,1.5216221809387207,21.0,-6.896280765533447,-3.2386035919189453,-0.3612719178199768,22.0,-1.8000857830047607,-2.243671178817749,1.80011785030365
1676077459992764100,0,77459.0,1.0,-4.267791271209717,0.40505167841911316,2.884413242340088,16.0,-7.123790740966797,1.4671539068222046,2.8048782348632812,17.0,8.299060821533203,0.3311833143234253,9.089982986450195,18.0,8.876714706420898,24.531414031982422,-0.6518616676330566,20.0,-4.644885063171387,5.8364667892456055,0.9980336427688599,21.0,-7.368734359741211,-3.2422194480895996,-0.6787785291671753,22.0,-2.6953516006469727,-2.8048946857452393,2.433485984802246
1676077460003045300,0,77460.0,1.0,-3.7793214321136475,1.5319371223449707,2.7224700450897217,16.0,-6.116411209106445,-4.156318187713623,5.3143768310546875,17.0,19.73240089416504,6.08668851852417,3.421487331390381,18.0,28.17849349975586,9.713258743286133,-20.31011199951172,20.0,-6.609721660614014,3.521322250366211,0.8716117739677429,21.0,-7.806702136993408,-2.8646507263183594,-0.8487157225608826,22.0,-3.306413412094116,-3.453085422515869,3.234549045562744
1676077460021032100,0,77460.0,1.0,-2.169325113296509,0.2120385468006134,3.0428593158721924,16.0,2.959686279296875,-4.368862152099609,4.175929546356201,17.0,12.575725555419922,6.580351829528809,-2.67842698097229,18.0,30.96310806274414,9.82219409942627,-13.01556396484375,20.0,-9.192178726196289,-0.33377939462661743,0.5198798775672913,21.0,-9.054555892944336,-2.4071848392486572,-0.9048235416412354,22.0,-5.445314884185791,-4.218849182128906,4.364832878112793
1676077460037669700,0,77460.0,1.0,-1.747348427772522,-3.2320899963378906,3.0443613529205322,16.0,-21.798681259155273,33.454071044921875,25.923585891723633,17.0,-1.6182054281234741,-0.5649553537368774,7.087536811828613,18.0,32.32040786743164,13.191598892211914,-5.132538318634033,20.0,2.4046261310577393,-1.263775110244751,6.599682331085205,21.0,-10.504537582397461,-3.0869884490966797,-0.9600873589515686,22.0,-7.703022003173828,-4.4696855545043945,5.273515224456787
1676077460038881900,0,77460.0,1.0,-2.9205448627471924,-1.293255090713501,3.440852642059326,16.0,-4.4761128425598145,10.602337837219238,13.9229154586792,17.0,10.994845390319824,0.1071944460272789,14.923107147216797,18.0,40.479156494140625,15.357037544250488,3.574408769607544,20.0,-0.8904688954353333,0.6098421812057495,6.484424114227295,21.0,-12.171295166015625,-4.708124160766602,-1.1723796129226685,22.0,-11.015687942504883,-5.315652847290039,5.225813865661621
1676077460054852100,0,77460.0,1.0,-2.6220664978027344,-4.886754035949707,3.999431848526001,16.0,8.440089225769043,-25.044689178466797,0.6245885491371155,17.0,20.590309143066406,-7.212398529052734,17.042612075805664,18.0,47.526039123535156,15.219226837158203,-2.4714736938476562,20.0,-0.4684394299983978,5.872406005859375,7.424747943878174,21.0,-13.772541999816895,-6.416600704193115,-1.7124085426330566,22.0,-13.181782722473145,-6.617758750915527,3.1944103240966797
1676077460065432000,0,77460.0,1.0,-0.8326385617256165,-1.6402668952941895,7.942408561706543,16.0,12.693292617797852,-27.855876922607422,-3.458998203277588,17.0,12.551994323730469,1.719452977180481,10.672224998474121,18.0,16.40053367614746,17.86695671081543,43.86125183105469,20.0,-0.6502932906150818,9.591900825500488,8.227879524230957,21.0,-15.121946334838867,-8.097297668457031,-2.354532241821289,22.0,-17.087594985961914,-8.807855606079102,4.044379234313965
1676077460072351400,0,77460.0,1.0,5.3595356941223145,-2.220337390899658,12.537364959716797,16.0,12.208711624145508,-15.700129508972168,-2.4478976726531982,17.0,12.27159309387207,14.470521926879883,-3.3210442066192627,18.0,12.057188987731934,-1.6340839862823486,-19.964229583740234,20.0,0.7668273448944092,9.36294937133789,9.570944786071777,21.0,-16.67109489440918,-8.863739013671875,-2.1321492195129395,22.0,-23.687334060668945,-12.947588920593262,0.42836979031562805
1676077460083635600,0,77460.0,1.0,4.19913387298584,-1.9379550218582153,15.490128517150879,16.0,-9.907368659973145,4.664857864379883,17.926939010620117,17.0,-0.21525992453098297,6.471350193023682,-6.495945453643799,18.0,2.2937867641448975,-21.89406967163086,2.0362720489501953,20.0,3.5288469791412354,0.5334481000900269,9.189627647399902,21.0,-16.689403533935547,-9.360149383544922,-1.1328407526016235,22.0,-18.99176788330078,-11.88831901550293,-7.132781505584717
1676077460097086300,0,77460.0,1.0,-2.116410970687866,-2.828348159790039,9.726350784301758,16.0,6.38272762298584,-14.385826110839844,13.8594970703125,17.0,-6.701053142547607,-4.839496612548828,-5.323352813720703,18.0,-1.9161611795425415,-6.790870666503906,-6.173327922821045,20.0,6.687840938568115,-3.429805278778076,8.129900932312012,21.0,-14.421477317810059,-10.331608772277832,-0.30673202872276306,22.0,-16.195804595947266,-7.217584609985352,-5.7878499031066895
1676077460111092100,0,77460.0,1.0,0.3562641739845276,1.8851100206375122,3.0960354804992676,16.0,-0.5760363936424255,28.208955764770508,1.0004197359085083,17.0,12.633818626403809,7.139447212219238,-1.7467129230499268,18.0,10.402539253234863,8.543603897094727,7.79945182800293,20.0,5.681346893310547,4.265145301818848,6.118770599365234,21.0,-11.972135543823242,-5.623106956481934,-0.20265768468379974,22.0,-10.692200660705566,2.6390435695648193,18.946186065673828
1676077460120651600,0,77460.0,1.0,0.8784448504447937,0.4543845057487488,3.276646375656128,16.0,10.720706939697266,-5.725573539733887,-12.758597373962402,17.0,14.819578170776367,6.2019524574279785,-4.251133918762207,18.0,5.868837833404541,-6.195793151855469,-5.4999847412109375,20.0,2.9497110843658447,4.905561447143555,6.482785701751709,21.0,-12.275335311889648,-1.0153871774673462,2.2960727214813232,22.0,-16.91551971435547,-2.6690664291381836,12.389608383178711
