time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-40-43-078158,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-089158,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-098172,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-108692,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-118725,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-128726,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-138726,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-148726,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-159727,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-168723,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-178726,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-43-189727,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-43-199702,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-43-209209,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-43-218246,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-43-229212,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-43-238213,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-43-248247,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
