time,theta,alpha,mx,my,fz
13-44-43-169009,4,.,1.0,-4.0,-168.56
13-44-43-178042,4,.,1.0,-4.0,-168.56
13-44-43-189042,4,.,1.0,-4.0,-168.56
13-44-43-199005,4,.,1.0,-4.0,-168.56
13-44-43-208005,4,.,1.0,-4.0,-168.56
13-44-43-218011,4,.,1.0,-4.0,-168.56
13-44-43-228070,4,.,1.0,-4.0,-168.56
13-44-43-239068,4,.,1.0,-4.0,-168.56
13-44-43-248068,4,.,1.0,-4.0,-168.56
13-44-43-259067,4,.,1.0,-4.0,-168.56
13-44-43-268069,4,.,1.0,-4.0,-168.56
13-44-43-278070,4,.,1.0,-4.0,-168.56
13-44-43-288072,4,.,1.0,-4.0,-168.56
13-44-43-298072,4,.,1.0,-4.0,-168.56
13-44-43-308106,4,.,1.0,-4.0,-168.56
13-44-43-318159,4,.,1.0,-4.0,-168.56
13-44-43-328736,4,.,1.0,-4.0,-168.56
13-44-43-337736,4,.,1.0,-4.0,-168.56
13-44-43-347738,4,.,1.0,-4.0,-168.56
13-44-43-358737,4,.,1.0,-4.0,-168.56
13-44-43-368736,4,.,1.0,-4.0,-168.56
13-44-43-378738,4,.,1.0,-4.0,-168.56
13-44-43-388735,4,.,1.0,-4.0,-168.56
13-44-43-397738,4,.,1.0,-4.0,-168.56
13-44-43-407733,4,.,1.0,-4.0,-168.56
13-44-43-417754,4,.,1.0,-4.0,-168.56
13-44-43-428360,4,.,1.0,-4.0,-168.56
13-44-43-438366,4,.,1.0,-4.0,-168.56
13-44-43-449359,4,.,1.0,-4.0,-168.56
13-44-43-458360,4,.,1.0,-4.0,-168.56
13-44-43-468362,4,.,1.0,-4.0,-168.56
13-44-43-479363,4,.,1.0,-4.0,-168.56
