time,theta,alpha,mx,my,fz
14-08-11-614633,['0 0'],1.0,-16.0,-3.92
14-08-11-623669,['0 0'],1.0,-17.0,-5.88
14-08-11-635035,['0 0'],1.0,-17.0,-5.88
14-08-11-645035,['0 0'],1.0,-17.0,-5.88
14-08-11-654999,['0 0'],1.0,-17.0,-5.88
14-08-11-664004,['0 0'],1.0,-17.0,-5.88
14-08-11-674515,['0 0'],2.0,-16.0,-5.88
14-08-11-683515,['0 0'],2.0,-16.0,-5.88
14-08-11-693518,['0 0'],2.0,-16.0,-5.88
14-08-11-703518,['0 0'],2.0,-16.0,-5.88
14-08-11-714516,['0 0'],2.0,-16.0,-5.88
14-08-11-723516,['0 0'],2.0,-16.0,-5.88
14-08-11-733516,['0 0'],2.0,-16.0,-5.88
14-08-11-744515,['0 0'],2.0,-16.0,-5.88
14-08-11-753515,['0 0'],2.0,-16.0,-5.88
14-08-11-764593,['0 0'],2.0,-16.0,-5.88
14-08-11-774103,['0 0'],2.0,-16.0,-5.88
14-08-11-784143,['0 0'],2.0,-16.0,-5.88
