time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-58-07-217050,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-227050,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-236050,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-247050,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-257049,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-267049,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-276059,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-286059,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-296580,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-307580,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-316580,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-327580,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-336580,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-347580,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-356580,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-367098,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-376107,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-386108,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-395664,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-405631,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-415661,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-426661,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-435666,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-446664,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-456664,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-466664,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-475670,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-486135,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-496141,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-507178,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-517141,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-527142,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-537142,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-548141,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-556141,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-567141,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-576146,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
