time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-37-04-302680,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-312686,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-321693,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-332255,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-342253,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-353213,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-362213,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-373211,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-383211,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-393214,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-403211,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-412216,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-422728,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-432728,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-441729,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-452728,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-461732,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-473729,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-482729,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-492728,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-501728,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-512735,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-522242,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-534249,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-543249,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-553248,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-562252,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-573252,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-582283,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-592285,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-602289,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-612293,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-622823,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-631821,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-641821,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-652817,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-662816,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-672475,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-681814,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-691851,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-703812,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-711821,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-723225,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-733221,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-743222,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-753221,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-763220,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-773220,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-782222,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-04-793222,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-04-803221,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-04-812228,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-04-822744,8.1 0,[0.],[0.],[0.],[0.],2.0,-6.0,-170.52
13-37-04-831748,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-841782,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-852743,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-861744,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-871747,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-881743,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-892741,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-902744,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-911750,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-922256,8.1 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
