index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
34665.0,0.001,0.001,0.001,0.001,0.001,0.001
34666.0,0.001,0.001,0.001,0.001,0.001,0.001
34667.0,0.001,0.001,0.001,0.001,0.001,0.001
34668.0,0.001,0.001,0.001,0.001,0.001,0.001
34669.0,0.001,0.001,0.001,0.001,0.001,0.001
34670.0,0.001,0.001,0.001,0.001,0.001,0.001
34671.0,0.001,0.001,0.001,0.001,0.001,0.001
34672.0,0.001,0.001,0.001,0.001,0.001,0.001
34673.0,0.001,0.001,0.001,0.001,0.001,0.001
34674.0,0.001,0.001,0.001,0.001,0.001,0.001
34675.0,0.001,0.001,0.001,0.001,0.001,0.001
34676.0,0.001,0.001,0.001,0.001,0.001,0.001
