%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683143891764545100,4547,-2974,-1373,43891.3359375
1683143891764651300,4550,-2978,474,43891.3515625
1683143891764897700,4549,-2976,1262,43891.35546875
1683143891764928900,4547,-2977,1626,43891.3671875
1683143891826259700,4547,-2975,-869,43891.37890625
1683143891826297700,4546,-2972,-1537,43891.38671875
1683143891826310300,4546,-2973,1454,43891.3984375
1683143891826342400,4545,-2972,-909,43891.41015625
1683143891826444500,4544,-2973,1790,43891.41796875
1683143891826452900,4543,-2971,1418,43891.42578125
1683143891881408700,4542,-2969,1266,43891.4375
1683143891881444100,4542,-2969,-2241,43891.4453125
1683143891881468400,4542,-2969,-269,43891.45703125
1683143891881558500,4542,-2969,1722,43891.47265625
1683143891881757000,4542,-2969,2350,43891.48046875
1683143891881784000,4542,-2969,-2225,43891.48828125
1683143891949922900,4541,-2969,-1789,43891.49609375
1683143891949949900,4541,-2968,1906,43891.5078125
1683143891949956800,4541,-2968,-2429,43891.515625
1683143891949967300,4541,-2968,-993,43891.52734375
1683143891949975600,4541,-2968,246,43891.53515625
1683143891949979300,4541,-2968,-1489,43891.546875
1683143892014391500,4541,-2968,1198,43891.55859375
1683143892014421500,4541,-2968,-2257,43891.56640625
1683143892014432800,4541,-2968,-369,43891.578125
1683143892014438600,4541,-2968,966,43891.5859375
1683143892014446700,4541,-2968,1158,43891.59765625
1683143892014456900,4541,-2968,222,43891.60546875
1683143892014482100,4541,-2968,810,43891.62109375
1683143892079276600,4541,-2969,2266,43891.63671875
1683143892079321600,4541,-2969,674,43891.640625
1683143892079346900,4541,-2969,2102,43891.6484375
1683143892079360900,4541,-2969,150,43891.65625
1683143892079391700,4541,-2969,1622,43891.671875
1683143892079415300,4541,-2969,1890,43891.67578125
1683143892079591600,4541,-2969,1658,43891.6875
1683143892149373000,4541,-2970,350,43891.69921875
1683143892149420900,4542,-2970,1686,43891.70703125
1683143892149445700,4542,-2970,1146,43891.71875
1683143892149461300,4542,-2970,-1705,43891.734375
1683143892149469300,4542,-2970,-317,43891.73828125
1683143892149473900,4542,-2970,-825,43891.74609375
1683143892149835200,4542,-2970,10,43891.7578125
1683143892214535900,4542,-2970,2446,43891.765625
1683143892214569800,4542,-2971,-673,43891.77734375
1683143892214576900,4542,-2971,566,43891.78515625
1683143892214585500,4542,-2971,1838,43891.80078125
1683143892214601000,4542,-2971,354,43891.80859375
1683143892214614400,4542,-2971,-173,43891.81640625
1683143892303324300,4542,-2971,-2109,43891.83203125
1683143892303426100,4542,-2971,-221,43891.8359375
1683143892303454500,4542,-2971,1394,43891.84765625
1683143892303466000,4542,-2971,918,43891.859375
1683143892303475600,4542,-2971,-1949,43891.8671875
1683143892303499400,4542,-2971,-5,43891.87890625
1683143892303536800,4542,-2971,-1217,43891.890625
1683143892303540800,4542,-2971,-1726,43891.8984375
1683143892303635900,4542,-2971,-2270,43891.90625
1683143892351104600,4542,-2971,-1246,43891.91796875
1683143892351154500,4542,-2971,682,43891.92578125
1683143892351179100,4542,-2971,518,43891.9375
1683143892351208600,4542,-2971,714,43891.953125
1683143892351555000,4542,-2971,710,43891.95703125
1683143892399328400,4542,-2971,1850,43891.96875
1683143892399357300,4542,-2971,434,43891.98046875
1683143892399377200,4542,-2971,2142,43891.98828125
1683143892399390500,4542,-2971,-418,43891.99609375
1683143892399402700,4542,-2971,1481,43892.0078125
1683143892465330700,4542,-2971,-2306,43892.01953125
1683143892465362600,4542,-2971,-1594,43892.02734375
1683143892465373300,4542,-2971,1933,43892.04296875
1683143892465498500,4542,-2971,1097,43892.046875
1683143892465555300,4542,-2971,-2350,43892.05859375
1683143892465763800,4542,-2971,-1778,43892.06640625
1683143892523992100,4542,-2971,-762,43892.078125
1683143892524012400,4543,-2971,-1918,43892.0859375
1683143892524018400,4543,-2971,-846,43892.09765625
1683143892524027000,4543,-2971,-1182,43892.109375
1683143892524038400,4543,-2971,-9,43892.1171875
1683143892524057600,4543,-2971,-537,43892.12890625
1683143892585465500,4542,-2971,189,43892.140625
1683143892585521100,4542,-2971,566,43892.1484375
1683143892585658500,4543,-2971,1198,43892.15625
1683143892585830200,4543,-2971,-1669,43892.16796875
1683143892586093600,4543,-2971,570,43892.17578125
1683143892586172800,4542,-2971,-2073,43892.1875
1683143892663227600,4543,-2971,-2149,43892.19921875
