%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683145637375660600,1808,-1393,-477,45636.87109375
1683145637375715200,1808,-1393,-357,45636.87890625
1683145637375796200,1808,-1393,-145,45636.890625
1683145637375840300,1808,-1393,86,45636.8984375
1683145637375847800,1808,-1393,-345,45636.91015625
1683145637376059400,1808,-1393,274,45636.921875
1683145637376358600,1816,-1395,-293,45636.9296875
1683145637434357000,1829,-1402,-701,45636.94140625
1683145637434409800,1833,-1411,-265,45636.94921875
1683145637434479100,1843,-1419,250,45636.9609375
1683145637434589900,1857,-1434,-509,45636.96875
1683145637434605000,1870,-1447,214,45636.98046875
1683145637435382000,1881,-1460,-301,45636.98828125
1683145637480492300,1889,-1471,286,45637.0
1683145637480542300,1889,-1473,-425,45637.01171875
1683145637480569700,1886,-1470,146,45637.01953125
1683145637480699000,1884,-1470,-617,45637.03125
1683145637525660800,1883,-1469,74,45637.04296875
1683145637525687200,1883,-1469,-337,45637.05078125
1683145637525695000,1883,-1469,66,45637.05859375
1683145637525722900,1882,-1469,-541,45637.0703125
1683145637525753900,1882,-1469,62,45637.078125
1683145637580608800,1882,-1468,-313,45637.08984375
1683145637580663100,1881,-1467,194,45637.1015625
1683145637580695900,1881,-1467,-277,45637.109375
1683145637580706400,1881,-1467,210,45637.12109375
1683145637580711800,1881,-1466,-749,45637.12890625
1683145637581037700,1880,-1465,-109,45637.140625
1683145637634557900,1878,-1462,-325,45637.1484375
1683145637634608600,1877,-1461,334,45637.16015625
1683145637634621600,1877,-1461,-93,45637.171875
1683145637634673100,1877,-1461,-301,45637.1796875
1683145637634912800,1877,-1461,-49,45637.19140625
1683145637680627200,1877,-1461,154,45637.19921875
1683145637680667100,1877,-1462,66,45637.2109375
1683145637680679800,1877,-1462,-57,45637.21875
1683145637680686200,1877,-1462,206,45637.23046875
1683145637680711500,1877,-1462,-85,45637.23828125
1683145637728197300,1877,-1462,-245,45637.25
1683145637728245700,1877,-1462,206,45637.26171875
1683145637728278500,1877,-1462,-225,45637.26953125
1683145637728338000,1877,-1462,78,45637.28125
1683145637792277200,1877,-1462,-81,45637.2890625
1683145637792301300,1877,-1463,226,45637.30078125
1683145637792304800,1877,-1463,-633,45637.30859375
1683145637792307700,1877,-1463,218,45637.3203125
1683145637792310600,1877,-1463,43,45637.328125
1683145637792343300,1877,-1463,-133,45637.33984375
1683145637792447700,1877,-1463,-25,45637.3515625
1683145637854768700,1877,-1463,11,45637.359375
1683145637854899400,1877,-1463,-225,45637.37109375
1683145637855123700,1877,-1463,90,45637.37890625
1683145637855185700,1878,-1463,43,45637.390625
1683145637855193500,1878,-1463,-365,45637.3984375
1683145637855198200,1879,-1463,166,45637.41015625
1683145637916416000,1880,-1463,-409,45637.421875
1683145637916448200,1880,-1463,-149,45637.4296875
1683145637916453100,1879,-1463,-281,45637.44140625
1683145637916457400,1880,-1463,326,45637.44921875
1683145637916500600,1880,-1463,62,45637.4609375
1683145637916714200,1880,-1463,-377,45637.46875
1683145637992035600,1879,-1463,150,45637.48046875
1683145637992059800,1880,-1463,-225,45637.48828125
1683145637992233500,1879,-1463,78,45637.5
1683145637992269100,1880,-1463,-181,45637.51171875
1683145637992390600,1880,-1463,138,45637.51953125
1683145637992443900,1879,-1463,-525,45637.53125
1683145637992726500,1880,-1463,86,45637.5390625
1683145637993272400,1879,-1463,-297,45637.55078125
1683145638044361700,1879,-1463,43,45637.55859375
1683145638044495200,1879,-1463,554,45637.5703125
1683145638044617800,1879,-1463,-229,45637.578125
1683145638044636900,1880,-1463,-17,45637.58984375
1683145638044916200,1879,-1463,366,45637.6015625
1683145638102240400,1879,-1463,-113,45637.609375
1683145638102286600,1880,-1463,-177,45637.62109375
1683145638102366100,1879,-1463,-153,45637.62890625
1683145638102753600,1879,-1463,-137,45637.640625
1683145638102794800,1879,-1463,-165,45637.6484375
1683145638102806500,1879,-1463,-437,45637.66015625
1683145638148099500,1879,-1463,47,45637.671875
1683145638148215300,1879,-1463,-281,45637.6796875
1683145638148225600,1879,-1463,246,45637.69140625
1683145638148231600,1879,-1463,-445,45637.69921875
1683145638196164600,1879,-1463,90,45637.7109375
1683145638196215300,1879,-1463,-229,45637.71875
1683145638196292600,1879,-1463,70,45637.73046875
1683145638196451100,1879,-1463,-361,45637.73828125
1683145638196466300,1879,-1463,122,45637.75
1683145638256478400,1879,-1463,178,45637.76171875
1683145638256674100,1879,-1463,11,45637.76953125
1683145638256678400,1879,-1464,-585,45637.78125
1683145638256773100,1879,-1464,206,45637.79296875
1683145638257129100,1879,-1464,-277,45637.80078125
1683145638257339900,1879,-1464,182,45637.80859375
1683145638302192900,1879,-1464,62,45637.8203125
1683145638302336500,1879,-1464,126,45637.828125
1683145638302393800,1879,-1464,-293,45637.83984375
1683145638302404800,1879,-1464,422,45637.8515625
1683145638302410000,1879,-1464,-221,45637.859375
1683145638349365500,1879,-1464,-33,45637.87109375
1683145638349410000,1879,-1464,-281,45637.87890625
1683145638349422500,1879,-1464,138,45637.890625
1683145638349765700,1879,-1464,202,45637.8984375
1683145638396000800,1879,-1464,-269,45637.91015625
1683145638396047700,1881,-1464,126,45637.921875
1683145638396076500,1893,-1466,-293,45637.9296875
1683145638396095700,1899,-1472,190,45637.94140625
1683145638396150500,1901,-1477,-985,45637.94921875
1683145638443325800,1911,-1480,-13,45637.9609375
1683145638443373300,1923,-1481,154,45637.9765625
1683145638443416800,1923,-1481,194,45637.984375
1683145638443693800,1923,-1481,134,45637.98828125
1683145638443767900,1924,-1480,-193,45638.0
1683145638489492300,1927,-1479,430,45638.01171875
1683145638489539500,1929,-1479,-541,45638.01953125
1683145638489596500,1930,-1478,194,45638.03125
1683145638489803300,1930,-1478,-949,45638.0390625
1683145638538184000,1930,-1475,-217,45638.05078125
1683145638538223000,1930,-1472,250,45638.05859375
1683145638538241000,1930,-1472,-545,45638.0703125
1683145638538356700,1930,-1472,354,45638.08203125
1683145638538613100,1930,-1471,-325,45638.08984375
1683145638598209200,1930,-1471,-197,45638.1015625
1683145638598262300,1930,-1470,-297,45638.109375
1683145638598367200,1930,-1470,3,45638.12109375
1683145638598410200,1930,-1471,31,45638.12890625
1683145638598431800,1930,-1470,470,45638.140625
1683145638598683800,1930,-1471,-481,45638.1484375
1683145638644749300,1930,-1470,39,45638.16015625
1683145638644794200,1930,-1470,31,45638.171875
1683145638644805000,1930,-1471,218,45638.1796875
1683145638644829700,1930,-1470,-297,45638.19140625
