%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1685049527953675800,-205,70,243120,0,49528.01953125
1685049527953815700,-206,74,249120,0,49528.02734375
1685049527953823000,-206,77,247280,0,49528.0390625
1685049527954192200,-206,78,246880,0,49528.05078125
1685049528004201700,-206,78,247360,0,49528.05859375
1685049528004232700,-206,78,249840,0,49528.0703125
1685049528004283400,-206,78,245840,0,49528.078125
1685049528004324200,-207,78,248720,0,49528.08984375
1685049528004376200,-207,78,247040,0,49528.09765625
1685049528054756000,-207,78,246720,0,49528.109375
1685049528054777600,-207,78,247360,0,49528.1171875
1685049528055043200,-207,78,250480,0,49528.12890625
1685049528055072000,-207,78,240800,0,49528.140625
1685049528055391600,-207,78,245200,0,49528.1484375
1685049528107311300,-207,78,249360,0,49528.16015625
1685049528107366700,-207,78,247840,0,49528.16796875
1685049528107402000,-207,78,247200,0,49528.1796875
1685049528107929200,-207,78,250440,0,49528.1875
1685049528107980300,-207,78,274480,0,49528.19921875
1685049528155436200,-207,78,199920,0,49528.2109375
1685049528155639200,-207,78,252320,0,49528.21875
1685049528155658400,-207,78,245120,0,49528.23046875
1685049528155821500,-207,78,246880,0,49528.23828125
1685049528155835900,-207,78,254080,0,49528.25
1685049528206175300,-207,78,248600,0,49528.2578125
1685049528206204900,-207,78,244160,0,49528.26953125
1685049528206215000,-207,78,247280,0,49528.27734375
1685049528206220600,-207,78,246800,0,49528.2890625
1685049528206476900,-207,78,246160,0,49528.30078125
1685049528255209500,-207,78,248240,0,49528.30859375
1685049528255217500,-207,78,247760,0,49528.3203125
1685049528255219100,-207,78,248080,0,49528.328125
1685049528255220600,-207,78,247280,0,49528.33984375
1685049528255222200,-207,78,247440,0,49528.34765625
1685049528303909600,-207,78,244920,0,49528.359375
1685049528304236700,-207,78,248160,0,49528.3671875
1685049528304256300,-207,78,246400,0,49528.37890625
1685049528304268000,-207,78,247040,0,49528.390625
1685049528304272700,-207,78,245680,0,49528.3984375
1685049528352992500,-207,78,246320,0,49528.41015625
1685049528353007500,-207,78,248160,0,49528.41796875
1685049528353365800,-207,78,263520,0,49528.4296875
1685049528353401700,-207,78,250640,0,49528.44140625
1685049528406626000,-207,78,246040,0,49528.45703125
1685049528406638000,-207,78,220560,0,49528.46484375
1685049528406806000,-207,78,241120,0,49528.46875
1685049528406824400,-207,78,246800,0,49528.48046875
1685049528406830800,-207,78,246320,0,49528.48828125
1685049528406837100,-207,78,248640,0,49528.5
1685049528453689300,-207,78,245760,0,49528.5078125
