%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1684875391496252300,233,241,250400,0,75391.8671875
1684875391496275200,233,241,250760,0,75391.8828125
1684875391496435900,233,241,250080,0,75391.890625
1684875391544090700,233,241,249760,0,75391.8984375
1684875391544120900,233,241,253120,0,75391.90625
1684875391544143500,233,241,248000,0,75391.921875
1684875391544159100,233,241,251520,0,75391.9296875
1684875391544222400,233,241,241920,0,75391.9375
1684875391592629800,233,241,250560,0,75391.953125
1684875391592667500,233,241,251040,0,75391.9609375
1684875391592675200,233,241,250000,0,75391.96875
1684875391593013600,233,241,250720,0,75391.9765625
1684875391593130300,233,241,253600,0,75391.9921875
1684875391641419400,233,241,249920,0,75392.0
1684875391641492300,233,241,250400,0,75392.0078125
1684875391641658100,233,241,251200,0,75392.0234375
1684875391641695300,233,241,262840,0,75392.03125
1684875391692141500,233,241,204400,0,75392.0390625
1684875391692226000,233,241,248640,0,75392.046875
1684875391692272800,233,241,249600,0,75392.0625
1684875391692284000,233,241,250480,0,75392.0703125
1684875391692324600,233,241,251040,0,75392.078125
1684875391740059400,233,241,250240,0,75392.09375
1684875391740132300,233,241,251040,0,75392.1015625
1684875391740189000,233,241,249920,0,75392.109375
1684875391740228400,233,241,250600,0,75392.1171875
1684875391740278200,233,241,251120,0,75392.1328125
1684875391786797600,233,241,254240,0,75392.140625
1684875391786881000,233,241,251120,0,75392.1484375
1684875391786937600,233,241,249999,0,75392.15625
1684875391786996200,233,241,253960,0,75392.171875
1684875391787019300,233,241,248800,0,75392.1796875
1684875391837893700,233,241,250560,0,75392.1875
1684875391838049500,233,241,249840,0,75392.203125
1684875391838359300,233,241,250240,0,75392.2109375
1684875391838398200,233,241,251000,0,75392.21875
1684875391838419100,233,241,249360,0,75392.2265625
1684875391887985700,233,241,250320,0,75392.2421875
1684875391888037200,233,241,250320,0,75392.25
1684875391888305400,233,241,254040,0,75392.2578125
1684875391888600800,233,241,231680,0,75392.2734375
1684875391888663000,233,241,250640,0,75392.28125
1684875391938131800,233,241,249120,0,75392.2890625
1684875391938201000,233,241,253520,0,75392.296875
1684875391938223900,233,241,247600,0,75392.3125
1684875391938297000,233,241,250160,0,75392.3203125
1684875391938322500,233,241,248800,0,75392.328125
