%time,field.mx,field.my,field.fz,
1.67607E+18,428,292,721.28,4626.910208
1.67607E+18,432,304,721.28,4626.910208
1.67607E+18,433,313,723.24,4626.94016
1.67607E+18,447,328,715.4,4626.960128
1.67607E+18,466,345,717.36,4680.91008
1.67607E+18,468,356,713.44,4680.930048
1.67607E+18,468,371,707.56,4680.96
1.67607E+18,460,389,697.76,4680.969984
1.67607E+18,449,408,687.96,4680.979968
1.67607E+18,439,424,686,4776.180224
1.67607E+18,431,442,680.12,4829.240064
1.67607E+18,423,457,680.12,4829.28
1.67607E+18,414,473,678.16,4829.300224
1.67607E+18,411,491,672.28,4829.310208
1.67607E+18,405,508,670.32,4829.320192
1.67607E+18,401,526,668.36,4829.470208
1.67607E+18,398,546,662.48,4829.510144
1.67607E+18,395,567,654.64,4829.520128
1.67607E+18,390,586,648.76,4829.55008
1.67607E+18,384,605,640.92,4889.270016
1.67607E+18,378,624,635.04,4889.289984
1.67607E+18,367,641,625.24,4889.299968
1.67607E+18,359,659,613.48,4889.350144
1.67607E+18,345,674,603.68,4889.360128
1.67607E+18,335,692,593.88,4950.270208
1.67607E+18,320,708,584.08,4950.30016
1.67607E+18,308,728,574.28,4950.340096
1.67607E+18,300,750,564.48,4950.35008
1.67607E+18,296,771,564.48,4950.390016
1.67607E+18,292,794,558.6,5015.74016
1.67607E+18,293,818,552.72,5015.750144
1.67607E+18,295,842,544.88,5015.760128
1.67607E+18,294,865,533.12,5015.760128
1.67607E+18,288,885,513.52,5015.780096
1.67607E+18,278,904,486.08,5015.810048
1.67607E+18,261,919,446.88,5015.890176
1.67607E+18,237,927,403.76,5015.90016
1.67607E+18,208,934,354.76,5074.72
1.67607E+18,179,935,307.72,5074.740224
1.67607E+18,164,923,280.28,5074.760192
1.67607E+18,145,897,256.76,5074.760192
1.67607E+18,129,847,237.16,5074.770176
1.67607E+18,108,790,211.68,5074.800128
1.67607E+18,87,731,192.08,5074.899968
1.67607E+18,72,663,168.56,5122.409984
1.67607E+18,63,579,145.04,5122.430208
1.67607E+18,61,491,123.48,5122.440192
1.67607E+18,60,402,109.76,5122.500096
1.67607E+18,56,316,94.08,5122.51008
1.67607E+18,51,241,82.32,5181.480192
1.67607E+18,40,178,72.52,5181.510144
1.67607E+18,32,128,62.72,5181.510144
1.67607E+18,19,84,52.92,5181.540096
1.67607E+18,7,46,45.08,5181.580032
1.67607E+18,-4,16,33.32,5243.240192
1.67607E+18,-11,-4,23.52,5243.26016
1.67607E+18,-15,-14,17.64,5243.270144
1.67607E+18,-17,-15,9.8,5243.270144
1.67607E+18,-14,-8,5.88,5243.300096
1.67607E+18,-15,-2,1.96,5307.140096
1.67607E+18,-14,0,1.96,5307.160064
1.67607E+18,-11,-4,5.88,5307.180032
1.67607E+18,-11,-84,19.6,5307.190016
1.67607E+18,-24,-34,3.92,5307.240192
1.67607E+18,-19,2,-1.96,5369.320192
1.67607E+18,-31,-5,-1.96,5369.330176
1.67607E+18,-24,-1,1.96,5369.34016
1.67607E+18,-16,-2,3.92,5369.350144
1.67607E+18,-17,-9,7.84,5369.360128
1.67607E+18,-19,-11,7.84,5369.370112
1.67607E+18,-15,-12,5.88,5369.400064
1.67607E+18,-15,-11,7.84,5369.420032
1.67607E+18,-17,-10,7.84,5369.449984
1.67607E+18,-21,-11,5.88,5369.449984
1.67607E+18,-22,-9,1.96,5432.979968
1.67607E+18,-21,-8,5.88,5433.000192
1.67607E+18,-22,-8,3.92,5433.000192
1.67607E+18,-22,-7,3.92,5433.010176
1.67607E+18,-23,-6,1.96,5433.02016
1.67607E+18,-24,-5,0,5492.850176
1.67607E+18,-23,-4,-1.96,5492.880128
1.67607E+18,-22,-3,-3.92,5492.890112
1.67607E+18,-22,-3,-3.92,5492.91008
1.67607E+18,-21,-2,-5.88,5492.940032
1.67607E+18,-20,-2,-1.96,5540.600064
1.67607E+18,-21,-2,-5.88,5540.630016
1.67607E+18,-21,-1,-7.84,5540.670208
1.67607E+18,-20,0,-9.8,5600.620032
1.67607E+18,-19,2,-11.76,5600.64
1.67607E+18,-19,2,-7.84,5600.649984
1.67607E+18,-19,3,-9.8,5600.649984
1.67607E+18,-19,3,-11.76,5600.659968
1.67607E+18,-18,4,-9.8,5600.659968
1.67607E+18,-18,6,-9.8,5600.670208
1.67607E+18,-16,8,-7.84,5600.690176
1.67607E+18,-17,8,-7.84,5600.710144
1.67607E+18,-17,9,-7.84,5600.770048
1.67607E+18,-19,9,-7.84,5600.780032
1.67607E+18,-19,9,-9.8,5600.780032
1.67607E+18,-18,9,-9.8,5651.140096
1.67607E+18,-16,10,-7.84,5651.160064
1.67607E+18,-16,7,-5.88,5651.209984
1.67607E+18,-16,8,-9.8,5651.219968
1.67607E+18,-15,8,-7.84,5711.26016
1.67607E+18,-13,10,-9.8,5711.280128
1.67607E+18,-11,11,-5.88,5711.280128
1.67607E+18,-9,12,-5.88,5711.31008
1.67607E+18,-11,12,-7.84,5711.320064
1.67607E+18,-9,13,-3.92,5711.36
1.67607E+18,-12,14,-5.88,5759.750144
1.67607E+18,-12,16,-5.88,5759.79008
1.67607E+18,-12,18,-5.88,5759.810048
1.67607E+18,-14,16,-5.88,5759.870208
1.67607E+18,-13,17,-5.88,5759.880192
1.67607E+18,-15,16,-3.92,5804.260096
1.67607E+18,-15,16,-3.92,5804.280064
1.67607E+18,-14,16,-3.92,5804.32
1.67607E+18,-10,17,-3.92,5804.32
1.67607E+18,-8,19,-5.88,5804.400128
1.67607E+18,-13,17,-7.84,5859.700224
1.67607E+18,-15,16,-7.84,5859.720192
1.67607E+18,-15,16,-7.84,5859.74016
1.67607E+18,-14,18,-7.84,5859.750144
1.67607E+18,-16,17,-3.92,5859.800064
1.67607E+18,-3,31,13.72,5918.260224
1.67607E+18,17,30,33.32,5918.310144
1.67607E+18,33,-36,76.44,5918.320128
1.67607E+18,30,-45,101.92,5918.360064
1.67607E+18,24,-32,123.48,6010.110208
1.67607E+18,23,5,160.72,6089.129984
1.67607E+18,31,17,203.84,6089.150208
1.67607E+18,43,-8,266.56,6089.160192
1.67607E+18,53,-48,317.52,6089.210112
1.67607E+18,62,-90,360.64,6089.210112
1.67607E+18,80,-122,390.04,6089.240064
1.67607E+18,100,-141,415.52,6089.250048
1.67607E+18,132,-143,448.84,6089.310208
1.67607E+18,171,-133,486.08,6089.310208
1.67607E+18,220,-115,527.24,6089.360128
1.67607E+18,281,-91,568.4,6089.360128
1.67607E+18,332,-80,609.56,6170.210048
1.67607E+18,370,-68,646.8,6170.249984
1.67607E+18,392,-42,664.44,6170.280192
1.67607E+18,399,-8,678.16,6170.290176
1.67607E+18,398,30,686,6170.340096
