%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,Time ms
1.67607E+18,-0.965332031,-0.069335938,0.036621094,0.183206107,0.251908397,3.679389313,0,0,8624.70016
1.67607E+18,-0.948486328,-0.068603516,0.011230469,0.114503817,0.358778626,3.633587786,0,0,8624.760064
1.67607E+18,-0.942382813,-0.055175781,-0.042724609,0.045801527,0.396946565,3.633587786,0,0,8624.780032
1.67607E+18,-0.938232422,-0.065429688,-0.063720703,0.061068702,0.41221374,3.58778626,0,0,8672.11008
1.67607E+18,-0.957519531,-0.064941406,-0.086914063,0.083969466,0.419847328,3.641221374,0,0,8672.130048
1.67607E+18,-0.957275391,-0.072753906,-0.101074219,0.061068702,0.442748092,3.694656489,0,0,8672.140032
1.67607E+18,-0.956054688,-0.075927734,-0.081298828,0.091603053,0.511450382,3.740458015,0,0,8672.150016
1.67607E+18,-0.967529297,-0.052734375,-0.076416016,0.221374046,0.519083969,3.778625954,0,0,8672.210176
1.67607E+18,-0.964355469,-0.072265625,-0.065917969,0.282442748,0.564885496,3.893129771,0,0,8720.600064
1.67607E+18,-0.958984375,-0.078369141,-0.081054688,0.290076336,0.625954198,3.961832061,0,0,8720.620032
1.67607E+18,-0.957763672,-0.048828125,-0.07421875,0.320610687,0.633587786,3.954198473,0,0,8720.630016
1.67607E+18,-0.962890625,-0.010742188,-0.055908203,0.427480916,0.72519084,3.923664122,0,0,8720.630016
1.67607E+18,-0.955566406,0.025634766,-0.044189453,0.534351145,0.870229008,3.786259542,0,0,8767.52
1.67607E+18,-0.963867188,0.026611328,-0.035644531,0.641221374,0.954198473,3.694656489,0,0,8767.74016
1.67607E+18,-0.962890625,0.022216797,-0.032226563,0.625954198,1.030534351,3.671755725,0,0,8767.750144
1.67607E+18,-0.979248047,-0.016845703,-0.021484375,0.511450382,1.106870229,3.664122137,0,0,8767.800064
1.67607E+18,-0.974609375,-0.035400391,-0.048828125,0.381679389,1.114503817,3.709923664,0,0,8767.820032
1.67607E+18,-0.965820313,-0.016113281,-0.051757813,0.358778626,1.038167939,3.748091603,0,0,8828.150016
1.67607E+18,-0.971923828,-0.065917969,-0.056884766,0.358778626,1.114503817,3.832061069,0,0,8828.190208
1.67607E+18,-1.005371094,-0.066650391,-0.041259766,0.458015267,1.297709924,4.061068702,0,0,8828.22016
1.67607E+18,-0.989013672,-0.124267578,-0.0390625,0.603053435,1.465648855,4.473282443,0,0,8828.250112
1.67607E+18,-0.9765625,-0.180419922,-0.020996094,0.717557252,1.58778626,5.083969466,0,0,8828.300032
1.67607E+18,-0.996337891,-0.258300781,-0.015625,0.824427481,1.732824427,5.847328244,0,0,8828.310016
1.67607E+18,-1.016113281,-0.241943359,0.008544922,1.053435115,1.893129771,6.610687023,0,0,8875.560192
1.67607E+18,-1.03515625,-0.240722656,-0.002929688,1.312977099,2.045801527,7.244274809,0,0,8875.58016
1.67607E+18,-1.084472656,-0.272216797,0.015136719,1.488549618,2.229007634,7.816793893,0,0,8875.590144
1.67607E+18,-1.118896484,-0.337158203,0.004638672,1.595419847,2.374045802,8.20610687,0,0,8875.650048
1.67607E+18,-1.156982422,-0.194091797,0.024658203,2.549618321,2.236641221,8.580152672,0,0,8875.660032
1.67607E+18,-1.305908203,-0.157714844,0.224121094,4.236641221,2.13740458,8.847328244,0,0,8922.640128
