%time,field.mx,field.my,field.fz
1676072641467759900,-24.0,8.0,-188.16
1676072641467801200,-22.0,10.0,-196.0
1676072641467823600,-22.0,10.0,-196.0
1676072641467841800,-22.0,10.0,-196.0
1676072641527839500,-22.0,10.0,-196.0
1676072641527867700,-25.0,9.0,-194.04
1676072641527883000,-23.0,10.0,-196.0
1676072641527917400,-22.0,11.0,-197.96
1676072641527923400,-21.0,12.0,-196.0
1676072641573723400,-21.0,13.0,-190.12
1676072641573749700,-20.0,10.0,-188.16
1676072641573784800,-22.0,9.0,-186.2
1676072641573850900,-20.0,10.0,-188.16
1676072641619805500,-24.0,9.0,-192.07999999999998
1676072641619868000,-24.0,9.0,-194.04
1676072641619914700,-22.0,10.0,-196.0
1676072641619923000,-21.0,10.0,-197.96
1676072641667964900,-20.0,11.0,-197.96
1676072641667973300,-24.0,9.0,-192.07999999999998
1676072641667993900,-21.0,10.0,-196.0
1676072641668029300,-19.0,10.0,-188.16
1676072641668034500,-20.0,11.0,-197.96
1676072641746560000,-20.0,10.0,-188.16
1676072641791355800,-23.0,9.0,-194.04
1676072641791376600,-20.0,11.0,-197.96
1676072641791397300,-19.0,10.0,-188.16
1676072641791410100,-20.0,9.0,-188.16
1676072641791441700,-23.0,8.0,-188.16
1676072641791451100,-23.0,9.0,-188.16
1676072641791536600,-24.0,9.0,-188.16
1676072641791546200,-24.0,9.0,-194.04
1676072641791576500,-23.0,10.0,-196.0
1676072641791585600,-21.0,12.0,-196.0
1676072641791603600,-25.0,9.0,-192.07999999999998
1676072641840964200,-20.0,11.0,-194.04
1676072641899770700,-20.0,10.0,-188.16
1676072641899796500,-22.0,9.0,-188.16
1676072641899823200,-23.0,10.0,-197.96
1676072641899875500,-26.0,8.0,-192.07999999999998
1676072641899885000,-25.0,9.0,-192.07999999999998
1676072641899894100,-23.0,10.0,-196.0
1676072641899905500,-21.0,11.0,-197.96
1676072641899971200,-24.0,10.0,-196.0
1676072641899977400,-21.0,12.0,-197.96
1676072641952591700,-25.0,9.0,-188.16
1676072641952610700,-26.0,9.0,-192.07999999999998
1676072641952617400,-26.0,8.0,-190.12
1676072641952634800,-22.0,11.0,-197.96
1676072642010670000,-23.0,9.0,-188.16
1676072642010676700,-25.0,9.0,-192.07999999999998
1676072642010700900,-23.0,10.0,-196.0
1676072642010748800,-21.0,10.0,-197.96
1676072642058016900,-21.0,9.0,-188.16
1676072642058023800,-25.0,8.0,-188.16
1676072642058052500,-24.0,8.0,-194.04
1676072642058071700,-24.0,8.0,-194.04
1676072642058108600,-24.0,8.0,-194.04
1676072642104014800,-20.0,11.0,-190.12
1676072642104031900,-23.0,7.0,-186.2
1676072642104043600,-25.0,7.0,-188.16
1676072642104051500,-20.0,11.0,-190.12
1676072642104099800,-22.0,9.0,-197.96
1676072642151088300,-20.0,10.0,-196.0
1676072642151112700,-20.0,11.0,-190.12
1676072642151119300,-20.0,12.0,-190.12
1676072642151172800,-22.0,10.0,-196.0
1676072642151181400,-20.0,11.0,-197.96
1676072642199615700,-25.0,8.0,-190.12
1676072642199644700,-23.0,9.0,-194.04
1676072642199659000,-23.0,10.0,-196.0
1676072642199669300,-25.0,8.0,-190.12
1676072642262886900,-22.0,10.0,-197.96
1676072642262906300,-21.0,10.0,-197.96
1676072642262921500,-20.0,11.0,-196.0
1676072642262926200,-20.0,12.0,-190.12
1676072642328578700,-20.0,12.0,-192.07999999999998
1676072642328606500,-23.0,9.0,-188.16
1676072642328613100,-25.0,8.0,-190.12
1676072642328696400,-24.0,9.0,-194.04
1676072642328741100,-20.0,11.0,-196.0
1676072642328766900,-25.0,9.0,-190.12
1676072642386519500,-24.0,9.0,-194.04
1676072642386541900,-23.0,10.0,-196.0
1676072642386563000,-24.0,9.0,-192.07999999999998
1676072642386572700,-22.0,10.0,-197.96
1676072642386628500,-20.0,11.0,-188.16
1676072642386635800,-24.0,8.0,-190.12
1676072642386686000,-25.0,8.0,-192.07999999999998
1676072642386691200,-24.0,9.0,-194.04
1676072642386720700,-22.0,10.0,-196.0
1676072642471306500,-21.0,10.0,-197.96
1676072642523475200,-26.0,8.0,-190.12
1676072642523485200,-24.0,9.0,-194.04
1676072642523490400,-23.0,10.0,-196.0
1676072642523538900,-21.0,11.0,-196.0
1676072642582721100,-25.0,8.0,-188.16
1676072642582775800,-22.0,10.0,-197.96
1676072642582786900,-21.0,10.0,-197.96
1676072642582797700,-20.0,10.0,-194.04
1676072642582822500,-23.0,8.0,-194.04
1676072642582840700,-20.0,10.0,-197.96
1676072642582873100,-24.0,8.0,-188.16
1676072642582898700,-25.0,8.0,-190.12
1676072642582931700,-22.0,9.0,-196.0
1676072642628895900,-19.0,10.0,-188.16
1676072642628916200,-23.0,9.0,-194.04
1676072642628930700,-20.0,11.0,-197.96
1676072642628935800,-19.0,12.0,-190.12
1676072642675292700,-24.0,8.0,-190.12
1676072642675324700,-24.0,9.0,-192.07999999999998
1676072642675348700,-21.0,10.0,-197.96
1676072642675378600,-19.0,12.0,-197.96
1676072642675383900,-20.0,10.0,-188.16
1676072642675423200,-24.0,9.0,-190.12
1676072642721923300,-20.0,12.0,-196.0
1676072642721935900,-22.0,10.0,-196.0
1676072642721966600,-20.0,12.0,-192.07999999999998
1676072642769511800,-24.0,9.0,-190.12
1676072642769518600,-22.0,10.0,-196.0
1676072642769522800,-22.0,11.0,-197.96
1676072642769560300,-21.0,10.0,-188.16
1676072642769566500,-25.0,8.0,-190.12
1676072642818101700,-22.0,10.0,-197.96
1676072642818130900,-24.0,9.0,-194.04
1676072642818177500,-25.0,8.0,-190.12
1676072642818187600,-20.0,11.0,-197.96
1676072642818202900,-20.0,9.0,-188.16
1676072642879546400,-22.0,8.0,-188.16
1676072642879581200,-22.0,9.0,-196.0
