%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1683919319761689600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.158203125,0.0
1683919319761752200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.16796875,0.0
1683919319761759300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.177734375,0.0
1683919319761872400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.189453125,0.0
1683919319814362900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.19921875,0.0
1683919319814389300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.208984375,0.0
1683919319814395800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.21875,0.0
1683919319814468300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.228515625,0.0
1683919319814473100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.23828125,0.0
1683919319866592300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.248046875,0.0
1683919319866613800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.2578125,0.0
1683919319866664900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.267578125,0.0
1683919319866670400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.279296875,0.0
1683919319866722800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.2890625,0.0
1683919319866732700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.298828125,0.0
1683919319921683100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.30859375,0.0
1683919319921699700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.318359375,0.0
1683919319921718900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.328125,0.0
1683919319921778000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.337890625,0.0
1683919319921841800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.34765625,0.0
1683919319969353600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.359375,0.0
1683919319969364900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.369140625,0.0
1683919319969450300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.37890625,0.0
1683919319969464600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.388671875,0.0
1683919319969469300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.3984375,0.0
1683919320018310300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.408203125,0.0
1683919320018321500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.41796875,0.0
1683919320018344600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.427734375,0.0
1683919320018419200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.439453125,0.0
1683919320018507900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.44921875,0.0
1683919320069718400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.458984375,0.0
1683919320069731800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.46875,0.0
1683919320069792800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.478515625,0.0
1683919320069799600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.48828125,0.0
1683919320069829500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.498046875,0.0
1683919320121277000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.5078125,0.0
1683919320121289700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.51953125,0.0
1683919320121355400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,12.5,0.0,19320.529296875,0.0
1683919320121383600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.5390625,0.0
1683919320121391800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.548828125,0.0
1683919320169293000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.55859375,0.0
1683919320169307200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.568359375,0.0
1683919320169362900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.578125,0.0
1683919320169367100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.587890625,0.0
1683919320169445400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.59765625,0.0
1683919320218061600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.609375,0.0
1683919320218074900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.619140625,0.0
1683919320218095200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.62890625,0.0
1683919320218162700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19320.638671875,0.0
1683919320218190400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.6484375,0.0
1683919320269631300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.658203125,0.0
1683919320269638700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.66796875,0.0
1683919320269642000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.677734375,0.0
1683919320269715600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.689453125,0.0
1683919320269727500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.69921875,0.0
1683919320326656400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.708984375,0.0
1683919320326667700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.71875,0.0
1683919320326771100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.728515625,0.0
1683919320326784700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,0.0,0.0,19320.73828125,0.0
1683919320326839200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.748046875,0.0
1683919320326846800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.7578125,0.0
1683919320377171800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.767578125,0.0
1683919320377187200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.779296875,0.0
1683919320377191300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.7890625,0.0
1683919320377237600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.798828125,0.0
1683919320377313400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.80859375,0.0
1683919320436780500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.818359375,0.0
1683919320436792800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.830078125,0.0
1683919320436882600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.837890625,0.0
1683919320436895300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.84765625,0.0
1683919320436974500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.859375,0.0
1683919320515105700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.869140625,0.0
1683919320515118000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.87890625,0.0
1683919320515142900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.888671875,0.0
1683919320515223500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.8984375,0.0
1683919320515236600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.908203125,0.0
1683919320515292300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.91796875,0.0
1683919320583224300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.927734375,0.0
1683919320583236600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,19320.939453125,0.0
1683919320583240600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19320.94921875,0.0
1683919320583243600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19320.958984375,0.0
1683919320583246700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19320.96875,0.0
1683919320583254500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19320.978515625,0.0
1683919320583287300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19320.98828125,0.0
1683919320583427800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19320.998046875,0.0
1683919320641938200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19321.0078125,0.0
1683919320641951000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19321.01953125,0.0
1683919320642011100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19321.029296875,0.0
1683919320642107000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,28.600000381469727,30.0,0.0,19321.0390625,0.0
