%time,Acceleration in X,Acceleration in Y,Acceleration in Y,Angular Velocity in X,Angular Velocity in Y,Angular Velocity in Z,field.state,field.swing_time,Time in ms
1.68E+18,-0.887207031,0.265869141,0.129638672,0.580152672,-0.290076336,6.824427481,0,0,1091.56992
1.68E+18,-0.895996094,0.258300781,0.09765625,0.900763359,-0.129770992,6.702290076,0,0,1091.56992
1.68E+18,-0.943603516,0.094238281,0.048339844,1.366412214,0.145038168,6.740458015,0,0,1142.109952
1.68E+18,-0.956298828,-0.03515625,-0.043945313,1.038167939,0.328244275,7.152671756,0,0,1142.119936
1.68E+18,-0.924072266,-0.114013672,-0.087890625,0.557251908,0.564885496,5.885496183,0,0,1142.12992
1.68E+18,-0.941162109,-0.195800781,-0.135742188,0,0.603053435,8.770992366,0,0,1142.19008
1.68E+18,-1.080322266,-0.251464844,-0.146728516,-0.358778626,0.809160305,9.732824427,0,0,1142.200064
1.68E+18,-0.975585938,-0.276123047,-0.095214844,-0.381679389,0.961832061,10.85496183,0,0,1201.250048
1.68E+18,-1.004394531,-0.308349609,-0.056640625,-0.198473282,1.145038168,11.96946565,0,0,1201.270016
1.68E+18,-1.057861328,-0.351318359,0.019287109,0.030534351,1.221374046,13.20610687,0,0,1201.28
1.68E+18,-1.106933594,-0.354492188,0.066650391,0.732824427,1.312977099,14.19083969,0,0,1201.289984
1.68E+18,-1.58203125,-0.133300781,-0.002685547,2.053435115,1.58778626,14.11450382,0,0,1201.299968
1.68E+18,-1.546875,-0.770263672,0.152099609,2.732824427,1.786259542,15.16030534,0,0,1201.319936
1.68E+18,-1.333984375,-0.698730469,-0.041015625,3.603053435,1.79389313,16.70229008,0,0,1247.120128
1.68E+18,-1.34765625,-0.770751953,-0.042236328,4.480916031,1.34351145,18.79389313,0,0,1247.130112
1.68E+18,-1.442626953,-0.922607422,-0.046875,4.610687023,1.061068702,21.23664122,0,0,1247.15008
1.68E+18,-1.539794922,-1.095458984,-0.112304688,4.305343511,0.93129771,23.79389313,0,0,1247.160064
1.68E+18,-1.549316406,-1.206054688,-0.156982422,3.816793893,0.961832061,26.6259542,0,0,1312.300032
1.68E+18,-1.560546875,-1.281982422,-0.156005859,3.076335878,0.885496183,29.29770992,0,0,1312.310016
1.68E+18,-1.633544922,-1.155273438,-0.139404297,2.824427481,0.41221374,31.39694656,0,0,1312.329984
1.68E+18,-1.9375,-0.502685547,-0.113769531,4.091603053,-0.06870229,31.30534351,0,0,1312.339968
1.68E+18,2,-0.820068359,0.018798828,5.122137405,-0.320610687,31.0610687,0,0,1312.349952
1.68E+18,2,-0.540527344,0.083251953,6.328244275,0.709923664,31.33587786,0,0,1312.359936
1.68E+18,2,-0.48046875,0.195068359,6.984732824,1.41221374,30.61068702,0,0,1312.359936
1.68E+18,-1.886230469,-0.557373047,0.146240234,6.755725191,1.396946565,29.32824427,0,0,1366.950144
1.68E+18,-1.518310547,-0.115966797,-0.029785156,7.328244275,1.045801527,27.80916031,0,0,1367.010048
1.68E+18,-1.401855469,0.546875,0.015380859,7.839694656,0.366412214,26.28244275,0,0,1367.020032
1.68E+18,-1.765625,1.710449219,0.200683594,12.19083969,-0.015267176,21.70992366,0,0,1367.020032
1.68E+18,-1.466308594,-1.108886719,0.657226563,6.007633588,0.34351145,12.16793893,0,0,1367.079936
1.68E+18,0.726806641,1.999938965,2,12.61832061,-1.458015267,21.58015267,0,0,1417.159936
1.68E+18,2,1.999938965,1.188720703,19.4351145,-1.061068702,6.236641221,0,0,1417.16992
1.68E+18,-1.11328125,-0.010742188,0.946044922,6.526717557,1.007633588,-2.320610687,0,0,1417.23008
1.68E+18,-0.694580078,0.247070313,-0.096191406,5.633587786,3.244274809,-2.671755725,0,0,1417.240064
1.68E+18,-0.306152344,-0.499267578,0.089599609,4.72519084,2.27480916,-5.65648855,0,0,1417.260032
1.68E+18,-0.015136719,-0.92578125,-0.139404297,1.198473282,1.610687023,-7.732824427,0,0,1478.429952
1.68E+18,0.170410156,-0.212890625,-0.4140625,0.610687023,0.366412214,-8.763358779,0,0,1478.44992
1.68E+18,-0.000488281,0.268310547,-0.429443359,1.778625954,-1.213740458,-10.65648855,0,0,1478.470144
1.68E+18,-0.132324219,0.089111328,-0.352294922,0,-2.435114504,-13.8778626,0,0,1478.480128
1.68E+18,-0.265136719,0.257324219,-0.364746094,-0.580152672,-3.022900763,-17.21374046,0,0,1478.51008
1.68E+18,-0.217773438,0.011474609,-0.224365234,-2.229007634,-3.824427481,-19.83969466,0,0,1478.520064
1.68E+18,-0.235351563,-0.014648438,-0.302978516,-3.732824427,-4.374045802,-22.14503817,0,0,1539.120128
1.68E+18,-0.2578125,-0.028320313,-0.245605469,-5.213740458,-5.076335878,-24.10687023,0,0,1539.130112
1.68E+18,-0.294921875,-0.008300781,-0.184082031,-6.748091603,-5.755725191,-26.11450382,0,0,1539.140096
1.68E+18,-0.358398438,0.031738281,-0.176269531,-7.992366412,-6.106870229,-28.16793893,0,0,1539.15008
1.68E+18,-0.395751953,0.09765625,-0.145507813,-8.816793893,-6.351145038,-29.93129771,0,0,1539.180032
1.68E+18,-0.445556641,0.194091797,-0.152099609,-9.030534351,-6.435114504,-31.61068702,0,0,1539.180032
1.68E+18,-0.473876953,0.26953125,-0.134033203,-8.755725191,-6.396946565,-31.28244275,0,0,1584.679936
1.68E+18,-0.472412109,0.281738281,-0.128662109,-8.244274809,-6.435114504,-34.3740458,0,0,1584.710144
1.68E+18,-0.431640625,0.131347656,-0.155029297,-7.58778626,-6.58778626,-35.85496183,0,0,1584.710144
1.68E+18,-0.439697266,0.262207031,-0.177001953,-6.534351145,-6.740458015,-36.70992366,0,0,1584.790016
1.68E+18,-0.427978516,0.272216797,-0.171630859,-5.381679389,-7.129770992,-37.63358779,0,0,1584.790016
1.68E+18,-0.437255859,0.290039063,-0.190429688,-4.534351145,-7.641221374,-38.55725191,0,0,1631.920128
1.68E+18,-0.481201172,0.284423828,-0.1796875,-3.801526718,-8.27480916,-39.49618321,0,0,1631.980032
1.68E+18,-0.476318359,0.272705078,-0.207763672,-3.045801527,-9.190839695,-40.32061069,0,0,1631.990016
1.68E+18,-0.528808594,0.260009766,-0.254638672,-2.41221374,-10.30534351,-41.02290076,0,0,1632.009984
1.68E+18,-0.558349609,0.244873047,-0.269775391,-2,-11.64885496,-41.64885496,0,0,1632.019968
1.68E+18,-0.636962891,0.204589844,-0.266357422,-1.93129771,-12.90839695,-42.17557252,0,0,1697.110016
1.68E+18,-0.752685547,0.127197266,-0.207519531,-2.480916031,-14.04580153,-42.41984733,0,0,1697.129984
1.68E+18,-1.012939453,-0.06640625,-0.050537109,-3.954198473,-14.35877863,-41.84732824,0,0,1697.139968
1.68E+18,-1.345458984,-0.415039063,0.133056641,-6.870229008,-13.60305344,-39.58778626,0,0,1697.139968
1.68E+18,-1.837158203,-0.479003906,0.180664063,-10.09160305,-11.59541985,-36.02290076,0,0,1697.210112
1.68E+18,2,-1.438964844,0.368652344,-14.94656489,-6.977099237,-32.03816794,0,0,1697.210112
1.68E+18,2,1.141601563,0.469482422,-13.39694656,-3.717557252,-17.63358779,0,0,1754.380032
1.68E+18,2,1.999938965,0.024658203,-7.007633588,-3.801526718,-16.6259542,0,0,1754.4
1.68E+18,-1.974365234,1.299072266,-0.261474609,-6.809160305,-0.13740458,-13.26717557,0,0,1754.4
1.68E+18,-1.310546875,1.055419922,-0.220703125,-4.687022901,-0.480916031,-7.290076336,0,0,1754.419968
1.68E+18,-1.349365234,0.823242188,0.04296875,-3.564885496,0.404580153,-1.229007634,0,0,1754.429952
1.68E+18,-1.875,0.763427734,0.113769531,-1.305343511,1.877862595,6.549618321,0,0,1754.480128
1.68E+18,2,1.108154297,0.885498047,2.854961832,5.870229008,14.52671756,0,0,1812.400128
1.68E+18,2,1.906494141,0.8515625,7.358778626,11.45801527,21.34351145,0,0,1812.420096
1.68E+18,2,0.979980469,-0.501464844,13.52671756,11.03816794,24.81679389,0,0,1812.460032
1.68E+18,-1.048583984,1.072509766,-0.325927734,18.64122137,6.458015267,22.80916031,0,0,1812.48
1.68E+18,-0.419189453,-1.038085938,0.287841797,11.22137405,3.900763359,18.11450382,0,0,1812.52992
1.68E+18,-0.23046875,-1.667480469,0.321533203,2.549618321,3.312977099,17.11450382,0,0,1812.52992
1.68E+18,-1.515380859,1.220703125,-0.389404297,4.312977099,6.015267176,18.19847328,0,0,1857.890048
1.68E+18,-1.073974609,1.999938965,-0.334716797,8.679389313,5.839694656,17.32824427,0,0,1857.910016
1.68E+18,-1.052978516,0.6484375,-0.532958984,4.832061069,4.541984733,14.58015267,0,0,1857.92
1.68E+18,-0.932861328,-0.170654297,-0.571289063,-1.603053435,3.473282443,13.39694656,0,0,1857.939968
1.68E+18,-1.033691406,-0.251220703,-0.249755859,-7.213740458,2.122137405,12.81679389,0,0,1905.720064
1.68E+18,-1.029296875,0.958251953,-0.201660156,-6.221374046,1.618320611,11.15267176,0,0,1905.740032
1.68E+18,-0.940673828,0.597900391,-0.117675781,-4.480916031,1.076335878,9.030534351,0,0,1905.740032
1.68E+18,-0.928466797,-0.078857422,-0.256835938,-3.305343511,1.099236641,7.702290076,0,0,1905.76
1.68E+18,-0.937988281,-0.316894531,-0.191894531,-3.557251908,0.58778626,7.267175573,0,0,1905.789952
1.68E+18,-1.074707031,-0.037109375,-0.240966797,-2.885496183,0.404580153,7.435114504,0,0,1949.6
1.68E+18,-1.03125,-0.043457031,-0.254882813,-1.870229008,1.938931298,7.854961832,0,0,1949.619968
1.68E+18,-0.570068359,-0.217529297,-0.23828125,-2.290076336,-1.519083969,7.083969466,0,0,1949.64992
1.68E+18,-0.954101563,0.008789063,-0.235351563,-1.442748092,-1.717557252,6.267175573,0,0,1949.66016
1.68E+18,-0.953125,-0.104980469,0.024169922,-0.114503817,-1.740458015,6.114503817,0,0,1996.64
1.68E+18,-1.006347656,-0.060058594,-0.031005859,0.625954198,-1.465648855,6.007633588,0,0,1996.649984
1.68E+18,-0.943359375,-0.169433594,-0.022705078,1.152671756,-1.129770992,5.961832061,0,0,1996.649984
1.68E+18,-0.941162109,-0.240966797,0.069824219,0.755725191,-0.961832061,6.198473282,0,0,1996.679936
1.68E+18,-0.974853516,-0.108886719,0.073242188,0.839694656,-0.671755725,6.511450382,0,0,1996.68992
1.68E+18,-0.953125,-0.145996094,0.120117188,0.557251908,-0.335877863,6.557251908,0,0,2042.51008
1.68E+18,-0.952148438,-0.140625,0.136230469,0.267175573,0.076335878,6.687022901,0,0,2042.530048
1.68E+18,-0.938964844,-0.086669922,0.162597656,0.122137405,0.435114504,6.885496183,0,0,2042.540032
1.68E+18,-0.928222656,-0.005615234,0.141845703,0.236641221,0.732824427,7.167938931,0,0,2042.540032
1.68E+18,-0.913085938,0.016113281,0.144042969,0.496183206,0.916030534,7.435114504,0,0,2042.550016
1.68E+18,-0.91015625,0.047363281,0.118896484,0.809160305,1.129770992,7.496183206,0,0,2103.450112
1.68E+18,-0.915771484,0.078369141,0.070556641,1.221374046,1.404580153,7.763358779,0,0,2103.47008
1.68E+18,-0.910400391,0.015136719,0.026367188,1.389312977,1.687022901,7.969465649,0,0,2103.480064
1.68E+18,-0.920166016,-0.046630859,-0.058105469,1.351145038,1.816793893,8.312977099,0,0,2103.480064
1.68E+18,-0.936767578,-0.007568359,-0.078857422,1.122137405,1.854961832,8.564885496,0,0,2103.480064
1.68E+18,-0.939697266,-0.022705078,-0.103271484,0.969465649,1.938931298,8.992366412,0,0,2103.559936
1.68E+18,-0.958740234,-0.060302734,-0.120117188,0.854961832,1.969465649,9.503816794,0,0,2163.389952
1.68E+18,-0.967041016,-0.127441406,-0.163574219,0.633587786,1.992366412,10.20610687,0,0,2163.40992
1.68E+18,-0.948242188,-0.210693359,-0.207763672,0.358778626,1.946564885,11.08396947,0,0,2163.430144
1.68E+18,-0.965576172,-0.234863281,-0.173583984,-0.007633588,2.007633588,12.13740458,0,0,2163.440128
1.68E+18,-0.987548828,-0.265625,-0.166992188,-0.404580153,2.183206107,13.27480916,0,0,2163.460096
1.68E+18,-1.040283203,-0.305419922,-0.104248047,-0.763358779,2.381679389,14.35877863,0,0,2163.480064
1.68E+18,-1.0859375,-0.3828125,-0.018066406,-1.015267176,2.519083969,15.18320611,0,0,2223.980032
1.68E+18,-1.810302734,-0.740234375,-0.072021484,-1.442748092,3.129770992,14.77862595,0,0,2224
1.68E+18,-1.404785156,-0.985351563,0.187988281,-2.13740458,3.229007634,16.58778626,0,0,2224.009984
1.68E+18,-1.260498047,-0.435058594,-0.0625,-0.847328244,3.030534351,18.11450382,0,0,2224.059904
1.68E+18,-1.180419922,-0.582763672,0.129638672,0.473282443,2.282442748,19.80916031,0,0,2224.059904
1.68E+18,-1.349853516,-0.593017578,0.150146484,1.893129771,1.93129771,21.69465649,0,0,2224.11008
1.68E+18,-1.353759766,-0.789306641,0.106689453,2.694656489,1.679389313,23.61832061,0,0,2270.579968
1.68E+18,-1.369384766,-0.855957031,0.010009766,3.496183206,1.290076336,25.85496183,0,0,2270.599936
1.68E+18,-1.443847656,-0.967529297,-0.027587891,3.870229008,1.030534351,28.20610687,0,0,2270.60992
1.68E+18,-1.608398438,-1.065917969,-0.091064453,3.916030534,0.832061069,30.46564885,0,0,2270.640128
1.68E+18,-1.725830078,-0.989746094,-0.162597656,3.908396947,0.519083969,31.81679389,0,0,2270.650112
1.68E+18,2,-0.642578125,-0.114501953,4.541984733,0.595419847,31.8778626,0,0,2317.830144
1.68E+18,2,-0.902832031,0.046875,4.251908397,1.839694656,32.38167939,0,0,2317.850112
1.68E+18,2,-0.627929688,0.229003906,4.473282443,2.534351145,32.17557252,0,0,2317.87008
1.68E+18,2,-0.628662109,0.167480469,4.083969466,3,31.0610687,0,0,2317.880064
1.68E+18,-1.844482422,-0.581054688,-0.038330078,3.358778626,2.58778626,29.92366412,0,0,2362.599936
1.68E+18,-1.611572266,-0.068359375,-0.029541016,3.618320611,1.480916031,28.60305344,0,0,2362.619904
1.68E+18,-1.369628906,0.401123047,0.134521484,4.076335878,0.114503817,25.38167939,0,0,2362.640128
1.68E+18,-1.953857422,-0.499511719,0.742431641,-1.160305344,-0.65648855,17.1221374,0,0,2362.690048
1.68E+18,0.938720703,-1.988037109,-1.256103516,-5.648854962,5.885496183,18.6870229,0,0,2362.700032
1.68E+18,-1.163330078,1.999938965,1.020507813,8.106870229,-2.221374046,15.41984733,0,0,2409.080064
1.68E+18,-0.880371094,-0.303710938,-0.088867188,-2.938931298,1.198473282,-1.885496183,0,0,2409.100032
1.68E+18,-0.0625,-0.28515625,-0.295898438,-4.763358779,0.13740458,-2.511450382,0,0,2409.129984
1.68E+18,-0.630859375,0.551025391,-0.239501953,-0.374045802,0.641221374,-6.259541985,0,0,2409.149952
1.68E+18,-0.256835938,-0.490966797,0.166748047,-3.854961832,1.038167939,-8.778625954,0,0,2455.780096
1.68E+18,-0.162597656,0.034912109,0.016357422,-5.290076336,1.427480916,-9.961832061,0,0,2455.830016
