%time,field.mx,field.my,field.fz,
1.67608E+18,-39,16,-188.16,4051.570176
1.67608E+18,-43,1,-188.16,4051.620096
1.67608E+18,-37,-2,-188.16,4051.63008
1.67608E+18,-30,5,-188.16,4051.640064
1.67608E+18,-29,8,-186.2,4051.650048
1.67608E+18,-28,11,-188.16,4051.660032
1.67608E+18,-31,12,-190.12,4051.660032
1.67608E+18,-33,9,-190.12,4051.670016
1.67608E+18,-37,7,-192.08,4051.689984
1.67608E+18,-39,12,-196,4185.680128
1.67608E+18,-37,15,-196,4185.720064
1.67608E+18,-36,15,-196,4185.750016
1.67608E+18,-36,14,-197.96,4185.780224
1.67608E+18,-32,12,-197.96,4185.790208
1.67608E+18,-30,13,-197.96,4185.840128
1.67608E+18,-28,13,-201.88,4185.840128
1.67608E+18,-26,17,-203.84,4185.87008
1.67608E+18,-27,17,-207.76,4185.880064
1.67608E+18,-25,17,-207.76,4185.900032
1.67608E+18,-23,18,-209.72,4185.910016
1.67608E+18,-24,16,-213.64,4336.820224
1.67608E+18,-22,17,-211.68,4336.830208
1.67608E+18,-20,22,-213.64,4336.840192
1.67608E+18,-19,30,-219.52,4336.840192
1.67608E+18,-20,35,-221.48,4336.840192
1.67608E+18,-18,41,-221.48,4336.940032
1.67608E+18,-14,46,-219.52,4336.96
1.67608E+18,3,58,-215.6,4337.030144
1.67608E+18,5,99,-219.52,4337.040128
1.67608E+18,-38,139,-231.28,4337.050112
1.67608E+18,-50,98,-223.44,4337.07008
1.67608E+18,-46,91,-215.6,4337.090048
1.67608E+18,-41,95,-215.6,4514.480128
1.67608E+18,-35,105,-213.64,4514.480128
1.67608E+18,-16,95,-205.8,4514.530048
1.67608E+18,-7,91,-180.32,4514.540032
1.67608E+18,22,92,-80.36,4514.550016
1.67608E+18,85,-92,147,4514.56
1.67608E+18,262,-153,537.04,4514.610176
1.67608E+18,401,-125,766.36,4514.610176
1.67608E+18,427,-93,850.64,4514.650112
1.67608E+18,325,-77,840.84,4514.660096
1.67608E+18,211,-115,787.92,4514.690048
1.67608E+18,125,-196,742.84,4514.700032
1.67608E+18,88,-273,723.24,4514.750208
1.67608E+18,113,-323,735,4514.760192
1.67608E+18,159,-317,733.04,4514.800128
1.67608E+18,224,-281,713.44,4514.840064
1.67608E+18,296,-245,697.76,4514.850048
1.67608E+18,355,-228,686,4514.88
1.67608E+18,391,-213,666.4,4514.88
1.67608E+18,412,-163,629.16,4514.920192
1.67608E+18,424,-88,591.92,4514.920192
1.67608E+18,434,-17,566.44,4685.860096
1.67608E+18,434,39,542.92,4685.900032
1.67608E+18,426,87,517.44,4685.92
1.67608E+18,411,125,490,4685.929984
1.67608E+18,389,150,464.52,4685.950208
1.67608E+18,357,169,439.04,4685.960192
1.67608E+18,322,185,419.44,4685.970176
1.67608E+18,298,201,403.76,4686.000128
1.67608E+18,279,237,395.92,4686.020096
1.67608E+18,255,276,390.04,4686.03008
1.67608E+18,244,300,395.92,4686.060032
1.67608E+18,250,330,399.84,4686.110208
1.67608E+18,265,365,405.72,4686.120192
1.67608E+18,280,389,417.48,4686.14016
1.67608E+18,297,412,427.28,4686.150144
1.67608E+18,313,441,431.2,4686.180096
1.67608E+18,328,475,435.12,4686.19008
1.67608E+18,339,511,435.12,4686.19008
1.67608E+18,348,548,433.16,4686.24
1.67608E+18,353,586,429.24,4686.260224
1.67608E+18,357,625,423.36,4686.30016
1.67608E+18,364,667,417.48,4686.340096
1.67608E+18,370,712,411.6,4686.380032
1.67608E+18,377,759,401.8,4686.390016
1.67608E+18,383,812,390.04,4859.31008
1.67608E+18,388,865,378.28,4859.330048
1.67608E+18,383,922,362.6,4859.340032
1.67608E+18,376,978,341.04,4859.410176
1.67608E+18,373,1029,325.36,4859.430144
1.67608E+18,369,1076,305.76,4859.440128
1.67608E+18,373,1119,286.16,4859.440128
1.67608E+18,400,1162,266.56,4859.450112
1.67608E+18,426,1198,258.72,4859.47008
1.67608E+18,430,1232,243.04,4859.480064
1.67608E+18,428,1243,235.2,4859.510016
1.67608E+18,415,1237,219.52,4859.53024
1.67608E+18,393,1210,196,4859.53024
1.67608E+18,361,1148,166.6,4859.550208
1.67608E+18,319,1048,131.32,4859.590144
1.67608E+18,276,936,92.12,4859.590144
1.67608E+18,231,810,49,4859.620096
1.67608E+18,187,670,7.84,5036.950016
1.67608E+18,153,536,-27.44,5036.969984
1.67608E+18,118,411,-62.72,5036.980224
1.67608E+18,84,304,-92.12,5037.030144
1.67608E+18,49,205,-115.64,5037.040128
1.67608E+18,19,114,-133.28,5037.050112
1.67608E+18,-12,27,-145.04,5037.060096
1.67608E+18,-33,-29,-162.68,5037.07008
1.67608E+18,-39,-16,-184.24,5037.090048
1.67608E+18,13,-91,-164.64,5037.090048
1.67608E+18,-42,-170,-174.44,5037.140224
1.67608E+18,-59,-37,-178.36,5037.150208
1.67608E+18,-69,-33,-186.2,5037.150208
1.67608E+18,-41,-10,-180.32,5037.160192
1.67608E+18,-32,6,-176.4,5037.200128
1.67608E+18,-17,-27,-166.6,5037.220096
1.67608E+18,-17,-5,-170.52,5037.310208
1.67608E+18,-28,1,-170.52,5037.310208
1.67608E+18,-30,0,-172.48,5037.360128
1.67608E+18,-35,-21,-176.4,5037.370112
1.67608E+18,-51,-19,-180.32,5037.370112
1.67608E+18,-50,-5,-180.32,5037.39008
