%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,
1.67608E+18,-1.348144531,0.135009766,-0.052246094,6.770992366,3.923664122,23.44274809,0,0,1120.350208
1.67608E+18,-1.2890625,0.422363281,0.041015625,8.198473282,3.236641221,22.64885496,0,0,1174.200064
1.67608E+18,-1.24609375,1.003662109,-0.001953125,9.618320611,3.541984733,17.38931298,0,0,1174.220032
1.67608E+18,-1.302490234,-0.152099609,0.304931641,2.335877863,4.641221374,12.24427481,0,0,1174.230016
1.67608E+18,-0.766113281,1.999938965,-1.290527344,7.954198473,5.061068702,17.38931298,0,0,1174.24
1.67608E+18,-1.522705078,0.587646484,0.722900391,7.541984733,3.396946565,6.870229008,0,0,1174.330112
1.67608E+18,-1.055664063,-0.595458984,0.223632813,-2.687022901,4.702290076,1.175572519,0,0,1220.400128
1.67608E+18,-0.471923828,-0.179199219,-0.218261719,-1.946564885,4.984732824,2.129770992,0,0,1220.420096
1.67608E+18,-0.319580078,-0.473632813,0.073486328,-2.213740458,2.893129771,0.488549618,0,0,1220.440064
1.67608E+18,-0.184570313,-0.322021484,-0.143310547,-7.145038168,1.832061069,-1,0,0,1220.470016
1.67608E+18,-0.253417969,0.393066406,-0.424804688,-5.65648855,1.526717557,-2.648854962,0,0,1220.500224
1.67608E+18,-0.277832031,0.192626953,-0.052734375,-6.381679389,0.297709924,-5.870229008,0,0,1290.03008
1.67608E+18,-0.348632813,0.372070313,-0.182373047,-7.259541985,-0.160305344,-8.312977099,0,0,1290.040064
1.67608E+18,-0.374267578,0.360107422,-0.178222656,-6.961832061,-0.419847328,-11.38931298,0,0,1290.08
1.67608E+18,-0.376464844,0.211181641,-0.148193359,-7.526717557,-0.702290076,-13.61068702,0,0,1290.120192
1.67608E+18,-0.338867188,0.213134766,-0.102783203,-7.969465649,-1.236641221,-15.51908397,0,0,1290.130176
1.67608E+18,-0.328369141,0.284179688,-0.104003906,-8.221374046,-1.839694656,-17.94656489,0,0,1290.130176
1.67608E+18,-0.345214844,0.297363281,-0.108886719,-8.679389313,-2.251908397,-20.28244275,0,0,1290.160128
1.67608E+18,-0.374267578,0.382568359,-0.091552734,-8.671755725,-2.572519084,-22.34351145,0,0,1347.620096
1.67608E+18,-0.420166016,0.409179688,-0.113769531,-8.282442748,-2.786259542,-24.27480916,0,0,1347.640064
1.67608E+18,-0.397705078,0.329101563,-0.102539063,-7.938931298,-3.076335878,-26.00763359,0,0,1347.650048
1.67608E+18,-0.400390625,0.317871094,-0.151611328,-7.519083969,-3.282442748,-25.53435115,0,0,1347.700224
